المصنَّف	الورقة	ترتيب الورقة	خلية الرأس	رقم الحقل	اسم الحقل	آلية المصدر (AS-IS)	سلوك النظام المستهدف (TO-BE)	قاعدة الظهور	مصدر الحكم	حالة السطح	المتطلب الحاكم	قرار المصالحة
المبيعات التعاقدية	01_سجل_العملاء	1	U3	21	العقود الجارية	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	V3	22	آخر نشاط تنفيذي	صيغة عابرة للأوراق	مشتق محسوب	يُحسب في الخدمة ولا يُدخل	صيغة حية في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	W3	23	نماذج التعامل	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	X3	24	ملاحظات	ورقة بلا بيانات	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	اسم الحقل ودلالته	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	Y3	25	أنواع الخدمات	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	Z3	26	العملات المتعامل بها	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	AA3	27	دورية الفوترة بالمصدر	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	AB3	28	عدد المشاريع	صيغة عابرة للأوراق	مشتق محسوب	يُحسب في الخدمة ولا يُدخل	صيغة حية في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	01_سجل_العملاء	1	AC3	29	مستوى حجية بيانات العميل	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	قائم (AS-IS)	SAL-01	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	A3	1	رقم جهة الاتصال · Contact_ID	قيمة مثبتة	مفتاح أساسي مولَّد	يولّده النظام ولا يُحرَّر	قيمة في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	B3	2	رقم العميل	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	C3	3	اسم العميل (بحث)	صيغة عابرة للأوراق	مرجع من قائمة	قائمة اختيار — لا كتابة حرة	صيغة حية في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	D3	4	الاسم	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	E3	5	المسمى الوظيفي	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	F3	6	الهاتف	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	G3	7	البريد	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	H3	8	دوره في القرار	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	I3	9	الحالة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	J3	10	ملاحظات	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	K3	11	حالة البيانات	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	02_جهات_اتصال_العملاء	2	L3	12	أثر البحث في المصادر	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-02	—
المبيعات التعاقدية	03_سجل_المشاريع	3	A3	1	رقم المشروع · Project_ID	قيمة مثبتة	مفتاح أساسي مولَّد	يولّده النظام ولا يُحرَّر	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	B3	2	رقم العميل	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	C3	3	اسم العميل (بحث)	صيغة عابرة للأوراق	مرجع من قائمة	قائمة اختيار — لا كتابة حرة	صيغة حية في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	D3	4	اسم المشروع	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	E3	5	الوصف	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	F3	6	الموقع (نطاق تنفيذ)	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	G3	7	القطاع	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	H3	8	حالة المشروع	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	I3	9	تاريخ البداية	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	J3	10	المسؤول التجاري	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	K3	11	القيمة التقديرية ($)	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	L3	12	القيمة التقديرية (ج.س)	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	M3	13	عدد العقود	صيغة عابرة للأوراق	مشتق محسوب	يُحسب في الخدمة ولا يُدخل	صيغة حية في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	N3	14	ملاحظات	ورقة بلا بيانات	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	اسم الحقل ودلالته	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	O3	15	كود المشروع لدى العميل	ورقة بلا بيانات	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	اسم الحقل ودلالته	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	P3	16	الإقليم/الولاية	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	Q3	17	تسلسل مشروع العميل	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	R3	18	نوع الخدمة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	S3	19	نموذج العمل	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	T3	20	أساس التسمية والحدود	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	U3	21	قاعدة التجميع	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	03_سجل_المشاريع	3	V3	22	مستوى الحجية	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	قائم (AS-IS)	SAL-03	—
المبيعات التعاقدية	04_الفرص_البيعية	4	A3	1	رقم الفرصة · Opportunity_ID	قيمة مثبتة	مفتاح أساسي مولَّد	يولّده النظام ولا يُحرَّر	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	B3	2	رقم العميل	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	C3	3	اسم العميل (بحث)	صيغة عابرة للأوراق	مرجع من قائمة	قائمة اختيار — لا كتابة حرة	صيغة حية في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	D3	4	رقم المشروع	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	E3	5	نوع الفرصة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	F3	6	تاريخ الفتح	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	G3	7	مصدر الفرصة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	H3	8	نموذج العمل	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	I3	9	نوع الخدمة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	J3	10	الحجم المطلوب	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	K3	11	الوحدة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	L3	12	القيمة التقديرية ($)	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	M3	13	القيمة التقديرية (ج.س)	صيغة عابرة للأوراق	مستورد للقراءة من مالكه	يُقرأ من مالكه ويُعرض موسومًا	صيغة حية في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	N3	14	مرحلة الفرصة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	O3	15	احتمال الفوز	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	P3	16	تاريخ الحسم	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	Q3	17	نتيجة الفرصة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	R3	18	المنافسة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	S3	19	المسؤول	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	T3	20	سبب الربح/الخسارة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	U3	21	الإجراء التالي	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	V3	22	تاريخ الإجراء التالي	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	W3	23	مرجع العقد الناتج	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	X3	24	ملاحظات	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	Y3	25	مفتاح الحاوية المصدر	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	Z3	26	مستوى الحجية	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	04_الفرص_البيعية	4	AA3	27	أساس القيمة الرجعية	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-04	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	A3	1	رقم النشاط	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	B3	2	التاريخ	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	C3	3	رقم العميل	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	D3	4	اسم العميل (بحث)	صيغة عابرة للأوراق	مرجع من قائمة	قائمة اختيار — لا كتابة حرة	صيغة حية في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	E3	5	رقم المشروع	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	F3	6	رقم الفرصة	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	G3	7	مرجع العقد	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	H3	8	نوع النشاط	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	I3	9	الموضوع/الملخص	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	J3	10	النتيجة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	K3	11	المسؤول	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	L3	12	الإجراء التالي	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	M3	13	تاريخه	ورقة بلا بيانات	إدخال أعمال	خانة إدخال مفتوحة	اسم الحقل ودلالته	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	N3	14	ملاحظات	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	O3	15	مفتاح الحاوية المصدر	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	P3	16	مستوى الحجية	قيمة مثبتة	أثر تدقيقي أو بيانات وصفية	يُحفظ ولا يُعرض في النموذج	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	05_الأنشطة_والمتابعات	5	Q3	17	أساس القيمة الرجعية	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	قائم (AS-IS)	SAL-05	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	A3	1	رقم الطلب	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	B3	2	رقم العميل	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	C3	3	اسم العميل (بحث)	صيغة عابرة للأوراق	مرجع من قائمة	قائمة اختيار — لا كتابة حرة	صيغة حية في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	D3	4	رقم المشروع	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	E3	5	رقم الفرصة	قيمة مثبتة	مفتاح خارجي موروث	يُورَث من الأب ولا يُنشأ هنا	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	F3	6	نوع الطلب	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	G3	7	نطاق الطلب	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	H3	8	الخدمة المطلوبة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	I3	9	نموذج العمل المطلوب	قيمة مثبتة	موروث بالإسناد من الأب	يُملأ من الأب عند الإنشاء ويُعرض مقفلًا	قاعدة المتطلب الحاكم	يُبنى (TO-BE)	SAL-06	حُسم بالمتطلب: إدخال أعمال ← موروث بالإسناد من الأب
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	J3	10	الوحدة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	K3	11	الكمية/الحجم المطلوب	قيمة مثبتة	موروث بالإسناد من الأب	يُملأ من الأب عند الإنشاء ويُعرض مقفلًا	قاعدة المتطلب الحاكم	يُبنى (TO-BE)	SAL-06	حُسم بالمتطلب: إدخال أعمال ← موروث بالإسناد من الأب
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	L3	12	أنواع الآليات المطلوبة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	M3	13	عدد الآليات	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	N3	14	المدة (أشهر)	قيمة مثبتة	موروث بالإسناد من الأب	يُملأ من الأب عند الإنشاء ويُعرض مقفلًا	قاعدة المتطلب الحاكم	يُبنى (TO-BE)	SAL-06	حُسم بالمتطلب: إدخال أعمال ← موروث بالإسناد من الأب
المبيعات التعاقدية	06_احتياج_العميل_وطلب_العرض	6	O3	15	البداية المتوقعة	قيمة مثبتة	إدخال أعمال	خانة إدخال مفتوحة	قيمة في المرجع	يُبنى (TO-BE)	SAL-06	—
