الشاشة,الجدول,"تسمية العمود",الحكم,"العمود المقترح",النوع,السبب,"قرار المالك"
Approvals/hours_approval.php,timesheet_approvals,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Approvals/hours_approval.php,timesheet_approvals,"المنشئ — الاسم والصفة",MANUAL,created_by,,"مشتقٌّ من `created_by` و`timesheet_approvals` لا يحمله — يلزم قرار",
Approvals/hours_approval.php,timesheet_approvals,"المعتمد — الاسم والصفة",BIND,approved_by,derived,"مشتقٌّ من `approved_by` القائمِ في `timesheet_approvals` — بلا هجرة",
Approvals/hours_approval.php,timesheet_approvals,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Approvals/hours_approval.php,timesheet_approvals,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Approvals/hours_approval.php,timesheet_approvals,"تاريخ الإنشاء",MANUAL,created_at,,"مشتقٌّ من `created_at` و`timesheet_approvals` لا يحمله — يلزم قرار",
Approvals/hours_approval.php,timesheet_approvals,"تاريخ الاعتماد",BIND,approved_at,derived,"مشتقٌّ من `approved_at` القائمِ في `timesheet_approvals` — بلا هجرة",
Approvals/hours_approval.php,timesheet_approvals,الحالة,BIND,status,derived,"مشتقٌّ من `status` القائمِ في `timesheet_approvals` — بلا هجرة",
Approvals/requests.php,,"المنشئ — الاسم والصفة",MANUAL,,,"جدولُ الشاشةِ لم يُستنبَط — لا يُقاس عمودٌ بلا جدول",
Approvals/requests.php,,"المعتمد — الاسم والصفة",MANUAL,,,"جدولُ الشاشةِ لم يُستنبَط — لا يُقاس عمودٌ بلا جدول",
Approvals/requests.php,,"مرجع التفويض",MANUAL,,,"جدولُ الشاشةِ لم يُستنبَط — لا يُقاس عمودٌ بلا جدول",
Approvals/requests.php,,"المرجع الأب",MANUAL,,,"جدولُ الشاشةِ لم يُستنبَط — لا يُقاس عمودٌ بلا جدول",
Approvals/requests.php,,"تاريخ الاعتماد",MANUAL,,,"جدولُ الشاشةِ لم يُستنبَط — لا يُقاس عمودٌ بلا جدول",
Clients/activities.php,activities,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/activities.php,activities,"المنشئ — الاسم والصفة",BIND,created_by,derived,"مشتقٌّ من `created_by` القائمِ في `activities` — بلا هجرة",
Clients/activities.php,activities,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`activities` لا يحمله — يلزم قرار",
Clients/activities.php,activities,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/activities.php,activities,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/activities.php,activities,"تاريخ الإنشاء",BIND,created_at,derived,"مشتقٌّ من `created_at` القائمِ في `activities` — بلا هجرة",
Clients/activities.php,activities,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`activities` لا يحمله — يلزم قرار",
Clients/activities.php,activities,الحالة,MANUAL,status,,"مشتقٌّ من `status` و`activities` لا يحمله — يلزم قرار",
Clients/client_profile.php,project,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/client_profile.php,project,"المنشئ — الاسم والصفة",BIND,created_by,derived,"مشتقٌّ من `created_by` القائمِ في `project` — بلا هجرة",
Clients/client_profile.php,project,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`project` لا يحمله — يلزم قرار",
Clients/client_profile.php,project,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/client_profile.php,project,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/client_profile.php,project,"تاريخ الإنشاء",MANUAL,created_at,,"مشتقٌّ من `created_at` و`project` لا يحمله — يلزم قرار",
Clients/client_profile.php,project,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`project` لا يحمله — يلزم قرار",
Clients/client_profile.php,project,الحالة,BIND,status,derived,"مشتقٌّ من `status` القائمِ في `project` — بلا هجرة",
Clients/client_profile.php,project,الكيان,MANUAL,entity,,"تسميتانِ في الشاشةِ تؤولانِ إلى `entity` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/client_profile.php,project,"المنشئ — الاسم والصفة",MANUAL,created_by,,"تسميتانِ في الشاشةِ تؤولانِ إلى `created_by` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/client_profile.php,project,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"تسميتانِ في الشاشةِ تؤولانِ إلى `approved_by` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/client_profile.php,project,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/client_profile.php,project,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/client_profile.php,project,"تاريخ الإنشاء",MANUAL,created_at,,"تسميتانِ في الشاشةِ تؤولانِ إلى `created_at` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/client_profile.php,project,"تاريخ الاعتماد",MANUAL,approved_at,,"تسميتانِ في الشاشةِ تؤولانِ إلى `approved_at` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/client_profile.php,project,الحالة,MANUAL,status,,"تسميتانِ في الشاشةِ تؤولانِ إلى `status` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/commercial_risks.php,commercial_risks,"رقم الخطر",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/commercial_risks.php,commercial_risks,"تاريخ التسجيل",BIND,created_at,derived,"مشتقٌّ من `created_at` القائمِ في `commercial_risks` — بلا هجرة",
Clients/commercial_risks.php,commercial_risks,العقد,MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/commercial_risks.php,commercial_risks,الاحتمال,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/commercial_risks.php,commercial_risks,"الأثر المالي المقدر",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/commercial_risks.php,commercial_risks,"خطة المعالجة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/commercial_risks.php,commercial_risks,"تاريخ المراجعة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/commercial_risks.php,commercial_risks,"حالة المعالجة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/commercial_risks.php,commercial_risks,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/commercial_risks.php,commercial_risks,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/commercial_risks.php,commercial_risks,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`commercial_risks` لا يحمله — يلزم قرار",
Clients/commercial_risks.php,commercial_risks,"تاريخ الإنشاء",MANUAL,created_at,,"تسميتانِ في الشاشةِ تؤولانِ إلى `created_at` — تصادمُ مفتاحٍ يلزمه قرار",
Clients/commercial_risks.php,commercial_risks,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/commercial_risks.php,commercial_risks,"المنشئ — الاسم والصفة",BIND,created_by,derived,"مشتقٌّ من `created_by` القائمِ في `commercial_risks` — بلا هجرة",
Clients/commercial_risks.php,commercial_risks,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`commercial_risks` لا يحمله — يلزم قرار",
Clients/commercial_risks.php,commercial_risks,المرفق,MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/commercial_risks.php,commercial_risks,العملة,MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"رقم الملحق",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"رقم النسخة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"تاريخ السريان",NEW,effective_date,date,"لا عمودَ له في `contract_amendments` — يُنشأ **اختياريًّا** (NULL)",
Clients/contract_amendments.php,contract_amendments,"البند المعدل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"القيمة قبل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"القيمة بعد",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,الفرق,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"مبرر التعديل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"وقعه عنا",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"وقعه العميل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,"اعتمدته المالية",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_amendments.php,contract_amendments,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/contract_amendments.php,contract_amendments,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`contract_amendments` لا يحمله — يلزم قرار",
Clients/contract_amendments.php,contract_amendments,"تاريخ الإنشاء",BIND,created_at,derived,"مشتقٌّ من `created_at` القائمِ في `contract_amendments` — بلا هجرة",
Clients/contract_amendments.php,contract_amendments,"المنشئ — الاسم والصفة",BIND,created_by,derived,"مشتقٌّ من `created_by` القائمِ في `contract_amendments` — بلا هجرة",
Clients/contract_amendments.php,contract_amendments,الحالة,MANUAL,status,,"مشتقٌّ من `status` و`contract_amendments` لا يحمله — يلزم قرار",
Clients/contract_amendments.php,contract_amendments,"مفتاح منع التكرار",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"معكوس ب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"عكس عن",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"درجة الأثر",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"مركز التكلفة",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"سعر الصرف ومصدره",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,العملة,MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_amendments.php,contract_amendments,"المستند المرفق",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_commitments.php,contract_commitments,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/contract_commitments.php,contract_commitments,"المنشئ — الاسم والصفة",BIND,created_by,derived,"مشتقٌّ من `created_by` القائمِ في `contract_commitments` — بلا هجرة",
Clients/contract_commitments.php,contract_commitments,"المعتمد — الاسم والصفة",MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`contract_commitments` لا يحمله — يلزم قرار",
Clients/contract_commitments.php,contract_commitments,"مرجع التفويض",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_commitments.php,contract_commitments,"المرجع الأب",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_commitments.php,contract_commitments,"تاريخ الإنشاء",BIND,created_at,derived,"مشتقٌّ من `created_at` القائمِ في `contract_commitments` — بلا هجرة",
Clients/contract_commitments.php,contract_commitments,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`contract_commitments` لا يحمله — يلزم قرار",
Clients/contract_commitments.php,contract_commitments,الحالة,MANUAL,status,,"مشتقٌّ من `status` و`contract_commitments` لا يحمله — يلزم قرار",
Clients/contract_events.php,contract_events,"رقم الحدث",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_events.php,contract_events,الوصف,BIND,description,existing,"`description` قائمٌ في `contract_events` — وصلٌ بلا هجرة",
Clients/contract_events.php,contract_events,"المستند المرجعي",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_events.php,contract_events,"القيمة المتأثرة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_events.php,contract_events,"الحالة قبل",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_events.php,contract_events,"الحالة بعد",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_events.php,contract_events,المستخدم,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/contract_events.php,contract_events,الصفة,NEW,contact_title,text,"لا عمودَ له في `contract_events` — يُنشأ **اختياريًّا** (NULL)",
Clients/contract_events.php,contract_events,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/contract_events.php,contract_events,"مركز التكلفة",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_events.php,contract_events,"سعر الصرف ومصدره",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/contract_events.php,contract_events,العملة,MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/pricelists.php,pricelists,"رقم القائمة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/pricelists.php,pricelists,"العميل أو الشريحة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/pricelists.php,pricelists,"اسم البند",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/pricelists.php,pricelists,"سعر الوحدة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/pricelists.php,pricelists,"الحد الأدنى للكمية",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/pricelists.php,pricelists,"الخصم المسموح",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/pricelists.php,pricelists,"من تاريخ",NEW,date_from,date,"لا عمودَ له في `pricelists` — يُنشأ **اختياريًّا** (NULL)",
Clients/pricelists.php,pricelists,"إلى تاريخ",NEW,date_to,date,"لا عمودَ له في `pricelists` — يُنشأ **اختياريًّا** (NULL)",
Clients/pricelists.php,pricelists,اعتمدها,MANUAL,approved_by,,"مشتقٌّ من `approved_by` و`pricelists` لا يحمله — يلزم قرار",
Clients/pricelists.php,pricelists,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/pricelists.php,pricelists,"تاريخ الاعتماد",MANUAL,approved_at,,"مشتقٌّ من `approved_at` و`pricelists` لا يحمله — يلزم قرار",
Clients/pricelists.php,pricelists,الحالة,MANUAL,status,,"مشتقٌّ من `status` و`pricelists` لا يحمله — يلزم قرار",
Clients/pricelists.php,pricelists,"مركز التكلفة",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/pricelists.php,pricelists,"سعر الصرف ومصدره",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/products.php,products,الفئة,NEW,category,text,"لا عمودَ له في `products` — يُنشأ **اختياريًّا** (NULL)",
Clients/products.php,products,"نموذج التسعير",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"الحساب الإيرادي",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"مركز الإيراد",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"نسبة الضريبة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"قابل للخصم؟",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"الحد الأدنى للسعر",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"العملة الافتراضية",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,"العقود المستعملة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/products.php,products,عرفه,BIND,created_by,derived,"مشتقٌّ من `created_by` القائمِ في `products` — بلا هجرة",
Clients/products.php,products,الكيان,BOUND,entity,gov,"يبثُّه `ems_gov_ctx()` من `admin_companies` — موصولٌ سلفًا، لا عمل",
Clients/products.php,products,الحالة,BIND,status,derived,"مشتقٌّ من `status` القائمِ في `products` — بلا هجرة",
Clients/products.php,products,"مركز التكلفة",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/products.php,products,"سعر الصرف ومصدره",MANUAL,,,"تسميةٌ علائقيةٌ (مرجعٌ لجدولٍ آخر) — عمودٌ نصيٌّ لها يزدوج المصدر",
Clients/quotations.php,quotations,"رقم العرض",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/quotations.php,quotations,"تاريخ الإصدار",NEW,issue_date,date,"لا عمودَ له في `quotations` — يُنشأ **اختياريًّا** (NULL)",
Clients/quotations.php,quotations,"نموذج التسعير",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/quotations.php,quotations,البند,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/quotations.php,quotations,الكمية,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/quotations.php,quotations,"سعر الوحدة",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/quotations.php,quotations,الإجمالي,MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
Clients/quotations.php,quotations,"مدة سريان العرض",MANUAL,,,"ليست في المعجم — ولا يُخترع اسمُ عمودٍ لتسميةٍ لم تُدرَس",
