path,registered_in_modules,classification,proposed_decision
Contracts/update_contract_details.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Equipments/approve_card.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Equipments/asset_recon.php,Y,"شاشة مسجَّلة",تبقى
Equipments/code_bridge.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipment_card_fields.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Equipments/equipment_child_save.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Equipments/equipment_documents.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipment_profile.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipment_sourcing.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipments.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipments_drivers.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipments_fleet.php,Y,"شاشة مسجَّلة",تبقى
Equipments/equipments_types.php,Y,"شاشة مسجَّلة",تبقى
Equipments/fin_assets.php,Y,"شاشة مسجَّلة",تبقى
Equipments/fleet_depreciation_profiles.php,Y,"شاشة مسجَّلة",تبقى
Equipments/fleet_failures.php,Y,"شاشة مسجَّلة",تبقى
Equipments/fleet_file.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Equipments/fleet_models.php,Y,"شاشة مسجَّلة",تبقى
Equipments/get_contract_stats.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Equipments/get_equipment_details.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Equipments/get_mine_contracts.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Equipments/get_model_data.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Equipments/gov_dept_flt.php,Y,"شاشة مسجَّلة",تبقى
Equipments/manage_failure_codes.php,Y,"شاشة مسجَّلة",تبقى
Equipments/meter_readings.php,Y,"شاشة مسجَّلة",تبقى
Equipments/select_project.php,Y,"شاشة مسجَّلة",تبقى
Finance/acc_approval_chain.php,Y,"شاشة مسجَّلة",تبقى
Finance/acc_backflow.php,Y,"شاشة مسجَّلة",تبقى
Finance/acc_my_day.php,Y,"شاشة مسجَّلة",تبقى
Finance/acc_routing_matrix.php,Y,"شاشة مسجَّلة",تبقى
Finance/acc_specializations.php,Y,"شاشة مسجَّلة",تبقى
Finance/accountants_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/accounts_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/approvals_inbox.php,Y,"شاشة مسجَّلة",تبقى
Finance/assets_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/bank_reconciliation_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/budget_dept.php,Y,"شاشة مسجَّلة",تبقى
Finance/budget_form_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/budget_master.php,Y,"شاشة مسجَّلة",تبقى
Finance/cash_forecast_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/cfo_daily_board_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/cost_report_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/cron_depreciation_fin.php,N,معالج/كرون/مساعد,"ليست شاشة"
Finance/cron_finance_fin.php,N,معالج/كرون/مساعد,"ليست شاشة"
Finance/cron_obligation_alerts.php,N,معالج/كرون/مساعد,"ليست شاشة"
Finance/cron_periodic_fin.php,N,معالج/كرون/مساعد,"ليست شاشة"
Finance/ctrl_authority_limits.php,Y,"شاشة مسجَّلة",تبقى
Finance/ctrl_dept_propagation.php,Y,"شاشة مسجَّلة",تبقى
Finance/ctrl_doc_registry.php,Y,"شاشة مسجَّلة",تبقى
Finance/ctrl_doc_variance.php,Y,"شاشة مسجَّلة",تبقى
Finance/ctrl_quality_kpis.php,Y,"شاشة مسجَّلة",تبقى
Finance/ctrl_role_migration.php,Y,"شاشة مسجَّلة",تبقى
Finance/ctrl_supervision.php,Y,"شاشة مسجَّلة",تبقى
Finance/currencies_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/daily_pricing_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/dues_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/entitlement.php,Y,"شاشة مسجَّلة",تبقى
Finance/entitlement_gate.php,Y,"شاشة مسجَّلة",تبقى
Finance/events_list_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/executive_dashboard_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_analysis_actions.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Finance/fin_cashflow_stmt.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_contract_margin.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_early_warning.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_equity_stmt.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Finance/fin_m10_actions.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Finance/fin_posting_matrix.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_project_pl.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_ratio_detail.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_ratio_targets.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_ratios.php,Y,"شاشة مسجَّلة",تبقى
Finance/fin_unit_economics.php,Y,"شاشة مسجَّلة",تبقى
Finance/financial_statements_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/funding_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/gov_dept_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/import_events_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/journal_form_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/maintenance_provision_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/management_accounting_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_commitments.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_contingent.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_due_soon.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_horizon.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_overdue.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_register.php,Y,"شاشة مسجَّلة",تبقى
Finance/ob_schedule.php,Y,"شاشة مسجَّلة",تبقى
Finance/operator_pay_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/operator_pay_policies_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/payments_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/periodic_events_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/periods_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/supplier_statement_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/tax_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/tre_authority_caps.php,Y,"شاشة مسجَّلة",تبقى
Finance/tre_cycle_stages.php,Y,"شاشة مسجَّلة",تبقى
Finance/tre_sod_matrix.php,Y,"شاشة مسجَّلة",تبقى
Finance/tre_unit_roles.php,Y,"شاشة مسجَّلة",تبقى
Finance/unit_records_fin.php,Y,"شاشة مسجَّلة",تبقى
Finance/variance_monitor_fin.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/_finreq_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
FinRequests/accountant_desk.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/cycle_time_board.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/dept_inbox.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/effect_map.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/finance_gateway.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/my_requests.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/request_actions.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
FinRequests/request_form.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/requests_reports.php,Y,"شاشة مسجَّلة",تبقى
FinRequests/routing_admin.php,Y,"شاشة مسجَّلة",تبقى
Fleet/cron_doc_expiry_escalation.php,N,معالج/كرون/مساعد,"ليست شاشة"
Fleet/readiness_board.php,Y,"شاشة مسجَّلة",تبقى
Fleet/readiness_cert.php,Y,"شاشة مسجَّلة",تبقى
Governance/access_review.php,Y,"شاشة مسجَّلة",تبقى
Governance/activation_patterns.php,Y,"شاشة مسجَّلة",تبقى
Governance/break_glass.php,Y,"شاشة مسجَّلة",تبقى
Governance/canonical_names.php,Y,"شاشة مسجَّلة",تبقى
Governance/cron_permissions.php,N,معالج/كرون/مساعد,"ليست شاشة"
Governance/doc_types.php,Y,"شاشة مسجَّلة",تبقى
Governance/entities_registry.php,Y,"شاشة مسجَّلة",تبقى
Governance/exceptions.php,Y,"شاشة مسجَّلة",تبقى
Governance/gov_dept.php,Y,"شاشة مسجَّلة",تبقى
Governance/gov_dept_gov.php,Y,"شاشة مسجَّلة",تبقى
Governance/gov_m14_actions.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Governance/gov_reports.php,Y,"شاشة مسجَّلة",تبقى
Governance/guard_denials.php,Y,"شاشة مسجَّلة",تبقى
Governance/guards.php,Y,"شاشة مسجَّلة",تبقى
Governance/licenses_guarantees.php,Y,"شاشة مسجَّلة",تبقى
Governance/ownership_grants.php,Y,"شاشة مسجَّلة",تبقى
Governance/perm_explain.php,Y,"شاشة مسجَّلة",تبقى
Governance/portal_users.php,Y,"شاشة مسجَّلة",تبقى
Governance/read_log.php,Y,"شاشة مسجَّلة",تبقى
Governance/sensitive_fields.php,Y,"شاشة مسجَّلة",تبقى
Governance/signing_authority.php,Y,"شاشة مسجَّلة",تبقى
Governance/state_machines.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/breakdowns.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/dashboard_mnt.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/equipment_hours_preventive.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/failure_report.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/get_breakdown_count.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Maintenance/get_open_orders_count.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Maintenance/get_project_equipment.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Maintenance/gov_dept_mnt.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/inspections.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/master_data.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/mnt_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Maintenance/orders.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/preventive_plans.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/return_to_service.php,Y,"شاشة مسجَّلة",تبقى
Maintenance/workshop.php,Y,"شاشة مسجَّلة",تبقى
Oprators/get_contract_stats.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Oprators/get_contract_suppliers.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Oprators/get_mine_contracts.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Oprators/getoprator.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Oprators/oprators.php,Y,"شاشة مسجَّلة",تبقى
Oprators/select_project.php,Y,"شاشة مسجَّلة",تبقى
Operations/attendance.php,Y,"شاشة مسجَّلة",تبقى
Operations/containers.php,Y,"شاشة مسجَّلة",تبقى
Operations/cron_container_gate_report.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/cron_job_worker.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/cron_org_assignments.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/cron_rotation_transfer.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/cron_unit_chain_sla.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/cron_unit_chain_weekly.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/cron_wfm_engine.php,N,معالج/كرون/مساعد,"ليست شاشة"
Operations/daily_plan.php,Y,"شاشة مسجَّلة",تبقى
Operations/distribution_space.php,Y,"شاشة مسجَّلة",تبقى
Operations/equipment_quota.php,Y,"شاشة مسجَّلة",تبقى
Operations/fleet_calendar.php,Y,"شاشة مسجَّلة",تبقى
Operations/fleet_utilization.php,Y,"شاشة مسجَّلة",تبقى
Operations/gov_dept_ops.php,Y,"شاشة مسجَّلة",تبقى
Operations/gov_dept_sit.php,Y,"شاشة مسجَّلة",تبقى
Operations/monthly_close.php,Y,"شاشة مسجَّلة",تبقى
Operations/monthly_plan.php,Y,"شاشة مسجَّلة",تبقى
Operations/operations_room.php,Y,"شاشة مسجَّلة",تبقى
Operations/production.php,Y,"شاشة مسجَّلة",تبقى
Operations/shift_log.php,Y,"شاشة مسجَّلة",تبقى
Operations/site_gate_equip.php,Y,"شاشة مسجَّلة",تبقى
Operations/site_gate_person.php,Y,"شاشة مسجَّلة",تبقى
Operations/site_shift_plan.php,Y,"شاشة مسجَّلة",تبقى
Operations/site_work_calendar.php,Y,"شاشة مسجَّلة",تبقى
Operations/sites_board.php,Y,"شاشة مسجَّلة",تبقى
Operations/stops_unattributed.php,Y,"شاشة مسجَّلة",تبقى
Operations/swap_request.php,Y,"شاشة مسجَّلة",تبقى
Operations/unbilled.php,Y,"شاشة مسجَّلة",تبقى
Operations/unit_perf.php,Y,"شاشة مسجَّلة",تبقى
Procurement/consumption_rate.php,Y,"شاشة مسجَّلة",تبقى
Procurement/dashboard_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/gov_dept_inv.php,Y,"شاشة مسجَّلة",تبقى
Procurement/gov_dept_prc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/issue_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/items_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/master_data_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/orders_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/po_match.php,Y,"شاشة مسجَّلة",تبقى
Procurement/proc_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Procurement/receipt_custody_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/reordering_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/requests_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/rfq_compare_award.php,Y,"شاشة مسجَّلة",تبقى
Procurement/stock_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/supplier_card_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/suppliers_proc.php,Y,"شاشة مسجَّلة",تبقى
Procurement/warehouse_board.php,Y,"شاشة مسجَّلة",تبقى
Procurement/warehouses.php,Y,"شاشة مسجَّلة",تبقى
Procurement/wh_count.php,Y,"شاشة مسجَّلة",تبقى
Procurement/wh_receipt.php,Y,"شاشة مسجَّلة",تبقى
Procurement/wh_returns.php,Y,"شاشة مسجَّلة",تبقى
Procurement/wh_transfer.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/equipment_plan.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/get_mine_contracts.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Suppliers/get_project_hours.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Suppliers/get_supplier_contract_equipments.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Suppliers/quota_approval_minutes.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/rfq_requests.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/settlements.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/shares_coverage.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/showcontractsuppliers.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_advances.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_bank.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_capacity.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_closure.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_contract_actions_handler.php,N,معالج/كرون/مساعد,"ليست شاشة"
Suppliers/supplier_contract_lines.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_documents.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_evaluation.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_profile.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplier_rules.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/suppliers.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/suppliers_details.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplierscontracts.php,Y,"شاشة مسجَّلة",تبقى
Suppliers/supplierscontracts_details.php,Y,"شاشة مسجَّلة",تبقى
Tickets/admin_close.php,Y,"شاشة مسجَّلة",تبقى
Tickets/cron_tickets.php,N,معالج/كرون/مساعد,"ليست شاشة"
Tickets/dept_inbox.php,Y,"شاشة مسجَّلة",تبقى
Tickets/dept_inbox_map.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Tickets/get_tickets_count.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Tickets/gov_dept_crp.php,Y,"شاشة مسجَّلة",تبقى
Tickets/inquiry.php,Y,"شاشة مسجَّلة",تبقى
Tickets/intake_classify.php,Y,"شاشة مسجَّلة",تبقى
Tickets/my_tickets.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_categories_config.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_close.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_contextual_open.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_dashboard.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_escalation_config.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_form.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_kpi.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_recurrence.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_sla_config.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_types_config.php,Y,"شاشة مسجَّلة",تبقى
Tickets/ticket_workstreams_board.php,Y,"شاشة مسجَّلة",تبقى
Tickets/tickets_list.php,Y,"شاشة مسجَّلة",تبقى
Tickets/tkt_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Tickets/watchtower.php,Y,"شاشة مسجَّلة",تبقى
Timesheet/_ts_journey.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Timesheet/aprovment.php,Y,"شاشة مسجَّلة",تبقى
Timesheet/get_contract_hours.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/get_drivers.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/get_failure_codes.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/get_operations.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/get_timesheet.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/get_timesheet_data.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/get_timesheet_failures.php,N,"واجهة AJAX","ليست شاشة — يغطيها action_guard"
Timesheet/timesheet.php,Y,"شاشة مسجَّلة",تبقى
Timesheet/timesheet_details.php,Y,"شاشة مسجَّلة",تبقى
Timesheet/timesheet_type.php,Y,"شاشة مسجَّلة",تبقى
Timesheet/ts_driver_filter.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
Timesheet/view_timesheet.php,Y,"شاشة مسجَّلة",تبقى
Transport/cron_transfer.php,N,معالج/كرون/مساعد,"ليست شاشة"
Transport/gov_dept_trp.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_arrival.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_close_cost.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_cost_rules_config.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_dashboard.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_fleet.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_in_transit.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_order_form.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_orders_list.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_permits.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_requests.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_tariffs.php,Y,"شاشة مسجَّلة",تبقى
Transport/transfer_types_config.php,Y,"شاشة مسجَّلة",تبقى
Transport/trs_helpers.php,N,معالج/كرون/مساعد,"ليست شاشة"
Transport/trs_locations_config.php,Y,"شاشة مسجَّلة",تبقى
Workforce/contract_registry.php,Y,"شاشة مسجَّلة",تبقى
Workforce/deductions.php,Y,"شاشة مسجَّلة",تبقى
Workforce/employee_advances.php,Y,"شاشة مسجَّلة",تبقى
Workforce/employee_settlements.php,Y,"شاشة مسجَّلة",تبقى
Workforce/final_settlement.php,Y,"شاشة مسجَّلة",تبقى
Workforce/gov_dept_hrm.php,Y,"شاشة مسجَّلة",تبقى
Workforce/gov_dept_wrk.php,Y,"شاشة مسجَّلة",تبقى
Workforce/housing_units.php,Y,"شاشة مسجَّلة",تبقى
Workforce/op_codes.php,Y,"شاشة مسجَّلة",تبقى
Workforce/op_monthly.php,Y,"شاشة مسجَّلة",تبقى
Workforce/op_qual.php,Y,"شاشة مسجَّلة",تبقى
Workforce/payroll_runs.php,Y,"شاشة مسجَّلة",تبقى
Workforce/project_contracts.php,Y,"شاشة مسجَّلة",تبقى
Workforce/proposed_deductions.php,Y,"شاشة مسجَّلة",تبقى
Workforce/recruitment_pipeline.php,Y,"شاشة مسجَّلة",تبقى
Workforce/rotation.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_contract.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_evaluation.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_leave_absence.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_movement.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_register.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_settlement.php,Y,"شاشة مسجَّلة",تبقى
Workforce/worker_worklog.php,Y,"شاشة مسجَّلة",تبقى
Workforce/workforce_requirement.php,Y,"شاشة مسجَّلة",تبقى
movement/add_drivers.php,Y,"شاشة مسجَّلة",تبقى
movement/client_tree.php,Y,"شاشة مسجَّلة",تبقى
movement/delete_equipment_driver.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
movement/map_page.php,Y,"شاشة مسجَّلة",تبقى
movement/move_oprators.php,Y,"شاشة مسجَّلة",تبقى
movement/movement_operations.php,Y,"شاشة مسجَّلة",تبقى
movement/project_drivers.php,Y,"شاشة مسجَّلة",تبقى
movement/save_equipment_drivers.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
movement/update_operation_shift_type.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
movement/update_shift_type.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/audit_log.php,Y,"شاشة مسجَّلة",تبقى
admin/bus_monitor.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/companies.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
admin/cron_backup.php,N,معالج/كرون/مساعد,"ليست شاشة"
admin/csrf_monitor.php,N,"★شاشة غير مسجَّلة محتملة","★تسجيل أو تصنيف — يُحسم قبل قلب الحارس (§11.2-⑧)"
