الإدارة,الشاشة,المسار,المصدر,الحكم
"سلسلة الإمداد — المشتريات","حدود إعادة الطلب",Procurement/reordering_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المشتريات","موردو المشتريات",Procurement/suppliers_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المخازن","لوحة الإدارة",Procurement/warehouse_board.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المخازن","الاستلام المؤقت",Procurement/receipt_custody_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المخازن","صرف المخزون والعهدة",Procurement/issue_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المخازن","التحويل بين المخازن",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"سلسلة الإمداد — المخازن",المرتجعات,,"★ جديدٌ — مطلوبٌ للبناء",build:new
"سلسلة الإمداد — المخازن",المخزون,Procurement/stock_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المخازن","كتالوج الأصناف",Procurement/items_proc.php,"قائمٌ — منفَّذ",ok:placed
"سلسلة الإمداد — المخازن","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"سلسلة الإمداد — المخازن","الجرد والتسويات",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"سلسلة الإمداد — المخازن","ميزانية إدارتي",Finance/budget_dept.php,"★ جديدٌ — مطلوبٌ للبناء",build:new
"سلسلة الإمداد — المخازن","حدود إعادة الطلب",Procurement/reordering_proc.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","اللوحة التجارية للعقود",Contracts/commercial_board.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","عروض الأسعار",Clients/quotations.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","أنشطة العملاء",Clients/activities.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","الفاتورة الضريبية",Contracts/tax_invoices.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","الفرص البيعية",Opportunities/opportunities.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","المخاطر التجارية",Clients/commercial_risks.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود",المستخلصات,Contracts/claims.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود",المناقصات,Clients/tenders.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","احتساب الجزاءات والحوافز",Contracts/penalties.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","اقتصاد دورة حياة العقد",Contracts/contract_lifecycle.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود",الإعدادات,Settings/settings.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","التزامات العقود",Clients/contract_commitments.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","الجدول الشهري للعقد",Contracts/contract_monthly_plan.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود",العقود,Contracts/contracts.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود",العملاء,Clients/clients.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود",المشاريع,Projects/projects.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","بنود عقد العميل وقيمته",Contracts/contract_lines.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","خط أساس العقد",Contracts/contract_baseline.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","خطة دفع العقد",Contracts/contract_payment_schedule.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","خطة موارد العقد",Contracts/contract_resource_plan.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","ربط الخطة بالفعلي",Contracts/plan_actual_link.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","شروط تعديل السعر",Contracts/price_terms.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","ضمانات العقد",Contracts/contract_guarantees.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","مصفوفة التزامات العقد",Contracts/contract_obligations.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","ملاحق العقود وتجديداتها",Clients/contract_amendments.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","نطاقات العقد التشغيلية",Contracts/contract_sites.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","سجل حركة العقد",Clients/contract_events.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","جاهزية العروض",Clients/readiness_lines.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","لوحة الإسناد اليومي",Approvals/attribution_board.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","الذمم والتحصيل",Contracts/collections.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"المبيعات والعقود","ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","كشف حساب العميل",Contracts/client_statement.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","مركز التقارير",Reports/reports.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-12
"المبيعات والعقود","قوائم ونماذج التسعير",Clients/pricelists.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","كتالوج المنتجات والخدمات",Clients/products.php,"قائمٌ — منفَّذ",ok:placed
"المبيعات والعقود","وحدات القياس",Clients/units_of_measure.php,"قائمٌ — منفَّذ",ok:placed
المالية,"اللوحة التجارية للعقود",Contracts/commercial_board.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"اللوحة التنفيذية",Finance/executive_dashboard_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"لوحة الإدارة",Finance/cfo_daily_board_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"طلبات عروض الموردين",Suppliers/rfq_requests.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"الفاتورة الضريبية",Contracts/tax_invoices.php,"قائمٌ — منفَّذ",ok:placed
المالية,"القيود اليومية",Finance/journal_form_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,المستخلصات,Contracts/claims.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"المطابقة البنكية",Finance/bank_reconciliation_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"احتساب الجزاءات والحوافز",Contracts/penalties.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"اقتصاد دورة حياة العقد",Contracts/contract_lifecycle.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"الأصول والإهلاك",Finance/assets_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"التمويل والالتزامات",Finance/funding_fin.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"الطاقة والجاهزية ومهلة الإحلال",Suppliers/supplier_capacity.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"بنود عقد العميل وقيمته",Contracts/contract_lines.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"بنود عقد المورد",Suppliers/supplier_contract_lines.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"تسويات الموظفين",Workforce/employee_settlements.php,"قائمٌ — منفَّذ",ok:placed
المالية,"تصفية إنهاء خدمة الموظف",Workforce/final_settlement.php,"قائمٌ — منفَّذ",ok:placed
المالية,"تصفية إنهاء عقد المورد",Suppliers/supplier_closure.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"تقييم المورد الدوري",Suppliers/supplier_evaluation.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"خط أساس العقد",Contracts/contract_baseline.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"دليل الحسابات",Finance/accounts_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"ربط الخطة بالفعلي",Contracts/plan_actual_link.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"سلفيات الموردين",Suppliers/supplier_advances.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"سلفيات الموظفين",Workforce/employee_advances.php,"قائمٌ — منفَّذ",ok:placed
المالية,"شروط تعديل السعر",Contracts/price_terms.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"قواعد تحميل المورد وجزاءاته",Suppliers/supplier_rules.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"كشف حساب المورد",Finance/supplier_statement_fin.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"مصفوفة التزامات العقد",Contracts/contract_obligations.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"وثائق المورد وحسابه البنكي",Suppliers/supplier_documents.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"الطلبات المالية",FinRequests/finance_gateway.php,"قائمٌ — منفَّذ",ok:placed
المالية,"أحكام العميل والمورد والمشغّل",Finance/unit_records_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"بوابة الاستحقاق المالي",,"★ جديدٌ — مطلوبٌ للبناء",build:new
المالية,"صندوق الاعتمادات الموحد",Finance/approvals_inbox.php,"قائمٌ — منفَّذ",ok:placed
المالية,"لوحة الإسناد اليومي",Approvals/attribution_board.php,"قائمٌ — منفَّذ",ok:placed
المالية,"مكتب المحاسب",FinRequests/accountant_desk.php,"قائمٌ — منفَّذ",ok:placed
المالية,"الذمم والتحصيل",Finance/dues_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
المالية,"سجل الوحدات اليومية",Reports/daily_units_report.php,"قائمٌ — منفَّذ",ok:placed
المالية,"استقبال معاملات الإدارات",Finance/import_events_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"التكاليف والربحية",Finance/cost_report_fin.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"الدوريات المالية",Finance/periodic_events_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"السيولة والتنبؤ النقدي",Finance/cash_forecast_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"الضرائب والقيمة المضافة",Finance/tax_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"المحاسبة الإدارية",Finance/management_accounting_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"المدفوعات والخزينة",Finance/payments_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"الموازنة العامة والتوحيد",Finance/budget_master.php,"★ جديدٌ — مطلوبٌ للبناء",build:new
المالية,"الميزانية والانحراف",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"تسويات الموردين",Suppliers/settlements.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"مسيّر الرواتب",Workforce/payroll_runs.php,"قائمٌ — منفَّذ",ok:placed
المالية,"سجل الأحداث المالية",Finance/events_list_fin.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"سجل الذمم المدينة والتحصيلات",Contracts/collections.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"إقفال الفترات",Finance/periods_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"القوائم المالية",Finance/financial_statements_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"تقارير الطلبات المالية",FinRequests/requests_reports.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"زمن دورة الطلبات",FinRequests/cycle_time_board.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"كشف حساب العميل",Contracts/client_statement.php,"قائمٌ — منفَّذ",ok:placed
المالية,"سجل الحركة المالية",FinRequests/effect_map.php,"قائمٌ — منفَّذ",revive:role-17
المالية,"العملات وأسعار الصرف",Finance/currencies_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"المحاسبون والوحدات",Finance/accountants_fin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"تعرفة الترحيل وتسعير الأوامر",Transport/transfer_tariffs.php,"قائمٌ — منفَّذ",ok:placed
المالية,"سياسات مستحقات المشغّلين",Finance/operator_pay_policies_fin.php,"قائمٌ — منفَّذ",move:to-role-17
المالية,"قواعد توجيه الطلبات",FinRequests/routing_admin.php,"قائمٌ — منفَّذ",ok:placed
المالية,"قواعد مخصص الصيانة",Finance/maintenance_provision_fin.php,"قائمٌ — منفَّذ",ok:placed
"التمويل والملكية","لوحة الإدارة",Financing/financing_board.php,"قائمٌ — منفَّذ",ok:placed
"التمويل والملكية","إنشاء عملية تمويل",Financing/financing_operation_new.php,"قائمٌ — منفَّذ",ok:placed
"التمويل والملكية","الأقساط والسداد",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"التمويل والملكية","ملف عملية التمويل",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"التمويل والملكية","سجل الممولين",Financing/financiers_registry.php,"قائمٌ — منفَّذ",ok:placed
"التمويل والملكية","الانحرافات الثلاث",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"التمويل والملكية","بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
"التمويل والملكية","الاعتمادات المتأخرة والوثائق",Reports/approval_lag_report.php,"قائمٌ — منفَّذ",ok:placed
"التمويل والملكية","توزيع تكلفة التمويل",,"★ جديدٌ — مطلوبٌ للبناء",build:new
"التمويل والملكية","ميزانية إدارتي",Finance/budget_dept.php,"★ جديدٌ — مطلوبٌ للبناء",build:new
"التمويل والملكية","التراخيص والكفالات",Governance/licenses_guarantees.php,"قائمٌ — منفَّذ",move:to-role-26
"التمويل والملكية","التفويض بالتوقيع",Governance/signing_authority.php,"قائمٌ — منفَّذ",move:to-role-26
"التمويل والملكية","سجل الكيانات",Governance/entities_registry.php,"قائمٌ — منفَّذ",move:to-role-26
الأسطول,"لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,"لوحة الجاهزية",Fleet/readiness_board.php,"قائمٌ — منفَّذ",move:to-role-3
الأسطول,"خطة عمل الغد",Operations/daily_plan.php,"قائمٌ — منفَّذ",move:to-role-3
الأسطول,"الأصول والإهلاك",Finance/assets_fin.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,الإعدادات,Settings/settings.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,المعدات,Equipments/equipments_fleet.php,"قائمٌ — منفَّذ",revive:role-3
الأسطول,"الملكية والمُلّاك",,"★ جديدٌ — مطلوبٌ للبناء",build:new
الأسطول,"تخصيص المعدات للمشروعات",Oprators/select_project.php,"قائمٌ — منفَّذ",revive:role-3
الأسطول,"فريق الإدارة والتكليفات",main/project_users.php,"قائمٌ — منفَّذ",move:to-role-3
الأسطول,"قراءات العدّادات",Equipments/meter_readings.php,"قائمٌ — منفَّذ",move:to-role-3
الأسطول,"مواقع التنفيذ",Projects/sites.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,"وثائق المعدات والمشغّلين",Equipments/equipment_documents.php,"قائمٌ — منفَّذ",move:to-role-3
الأسطول,"أحكام العميل والمورد والمشغّل",Finance/unit_records_fin.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,"اعتماد الوحدات التشغيلية",Approvals/hours_approval.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,"بلاغات إدارتي",,"★ جديدٌ — مطلوبٌ للبناء",link:dept_inbox
الأسطول,"ميزانية إدارتي",Finance/budget_form_fin.php,"قائمٌ — منفَّذ",revive:role-3
الأسطول,"التصرف في الأصل",,"★ جديدٌ — مطلوبٌ للبناء",build:new
الأسطول,"التكاليف والربحية",Finance/cost_report_fin.php,"قائمٌ — منفَّذ",revive:role-3
الأسطول,"مركز التقارير",Reports/reports.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,"إعداد الإهلاك",Equipments/fleet_depreciation_profiles.php,"قائمٌ — منفَّذ",ok:placed
الأسطول,"الأنواع والموديلات",Equipments/fleet_models.php,"قائمٌ — منفَّذ",move:to-role-3
الموردون,"لوحة الإدارة",main/role_board.php,"قائمٌ — منفَّذ",ok:placed
الموردون,"طلبات عروض الموردين",Suppliers/rfq_requests.php,"قائمٌ — منفَّذ",move:to-role-2
الموردون,الإعدادات,Settings/settings.php,"قائمٌ — منفَّذ",ok:placed
الموردون,"الطاقة والجاهزية ومهلة الإحلال",Suppliers/supplier_capacity.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,الموردون,Suppliers/suppliers.php,"قائمٌ — منفَّذ",move:to-role-2
الموردون,"بنود عقد المورد",Suppliers/supplier_contract_lines.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"تصفية إنهاء عقد المورد",Suppliers/supplier_closure.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"تقييم المورد الدوري",Suppliers/supplier_evaluation.php,"قائمٌ — منفَّذ",revive:role-2
الموردون,"حصص الموردين والتغطية",,"★ جديدٌ — مطلوبٌ للبناء",build:new
الموردون,"خطة معدات المورد",,"★ جديدٌ — مطلوبٌ للبناء",build:new
الموردون,"سلفيات الموردين",Suppliers/supplier_advances.php,"قائمٌ — منفَّذ",move:to-role-2
