الملف,"الشاشة القانونية","اسم الشاشة","الورقة المالكة","العمود الزائد","حكم CMP المقترح",السبب,"قرار المالك (يدخل المستند / يُلغى)","الحكم النافذ (مصالحة U10 · ق-17)"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","التوازن (الأصول = الخصوم + حقوق الملكية)","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Finance/financial_statements_fin.php,fin_statements.php,"القوائم المالية","00 · الإدارة التنفيذية","صافي التدفّق النقدي","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Reports/margin_report.php,margin.php,"هامش الربح للعقد والواقعة","00 · الإدارة التنفيذية",الوقائع,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Reports/margin_report.php,margin.php,"هامش الربح للعقد والواقعة","00 · الإدارة التنفيذية","إيراد العميل","مرشح للإلغاء","شبهة ازدواج مع «الإيراد المعترَف به» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Reports/margin_report.php,margin.php,"هامش الربح للعقد والواقعة","00 · الإدارة التنفيذية","تكلفة المورد","مرشح للإلغاء","شبهة ازدواج مع «تكلفة المشغّلين» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Reports/margin_report.php,margin.php,"هامش الربح للعقد والواقعة","00 · الإدارة التنفيذية","استحقاق المشغّل","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Reports/margin_report.php,margin.php,"هامش الربح للعقد والواقعة","00 · الإدارة التنفيذية",الهامش٪,"مرشح للإلغاء","شبهة ازدواج مع «الهامش» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية","الإدارة المالكة","مرشح للإلغاء","شبهة ازدواج مع «الإدارة» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",مفتوحة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية","متوسّط العمر (يوم)","مرشح للإلغاء","شبهة ازدواج مع «متوسط التأخير» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",متأخّرة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية","عدد التحويلات","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية","متوسّط الاحتجاز (يوم)","مرشح للإلغاء","شبهة ازدواج مع «متوسط التأخير» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",ساعة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",المعدة,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · quota_ledger.php",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",مفتوح,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",المُبلِّغ,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · payments.php",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",المؤشّر,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Tickets/ticket_dashboard.php,ticket_kpi.php,"مؤشرات البلاغات","00 · الإدارة التنفيذية",القيمة,"يدخل المستند","موثق بالاسم نفسه في: ceo_approvals.php · ceo_contracts.php · contract_registry.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع","رفعُ اليوم","مرشح للإلغاء","شبهة ازدواج مع «الإنتاج اليوم» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",الرقم,"يدخل المستند","موثق بالاسم نفسه في: op_codes.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",المعدة,"يدخل المستند","موثق بالاسم نفسه في: tickets_dept.php · ticket_open.php · quota_ledger.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",الوردية,"يدخل المستند","موثق بالاسم نفسه في: site_shift_plan.php · daily_plan.php · op_assign.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",الوحدة,"يدخل المستند","موثق بالاسم نفسه في: margin.php · issue.php · stock.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",الكمية,"يدخل المستند","موثق بالاسم نفسه في: pr.php · unbilled.php · preventive.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",الحالة,"يدخل المستند","موثق بالاسم نفسه في: my_requests.php · messages.php · business_models.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",العقد,"يدخل المستند","موثق بالاسم نفسه في: contract_review.php · project_charter.php · commercial_risks.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع","الملتزَم (الشهر)","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",المنفَّذ,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع","الفجوة حتى اليوم","مرشح للإلغاء","شبهة ازدواج مع «الإنتاج اليوم» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع","الوتيرة اللازمة/يوم","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/operations_room.php,ops_room.php,"غرفة عمليات المواقع","01 · إدارة الموقع",المسؤول,"يدخل المستند","موثق بالاسم نفسه في: contract_review.php · commercial_risks.php · equip_docs.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/daily_plan.php,daily_plan.php,"خطة عمل الغد","01 · إدارة الموقع","المشغّل الموزَّع","مرشح للإلغاء","شبهة ازدواج مع «المشغّل الأساسي» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/daily_plan.php,daily_plan.php,"خطة عمل الغد","01 · إدارة الموقع","التوزيع (من سلسلة حاويتها حصرًا)","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",الخطوة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع","الدور الموافق","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",إلزامية,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",القرار,"يدخل المستند","موثق بالاسم نفسه في: rfq.php · price_adjust.php",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",بواسطة,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",متى,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",الموضوع,"يدخل المستند","موثق بالاسم نفسه في: messages.php · ticket_recur.php",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",الطالب,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع","ساري حتى","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
admin/org_permits.php,org_permits.php,"أذون الزيارة والمركبات الخارجية","01 · إدارة الموقع",أُنشئ,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Equipments/equipments.php,equipments.php,"سجل المعدات","01 · إدارة الموقع",المورد,"يدخل المستند","موثق بالاسم نفسه في: supplier_quota.php · equipment_quota.php · rfq.php",,"يدخل المستند — ق-17 إبقاء شامل"
Equipments/equipments.php,equipments.php,"سجل المعدات","01 · إدارة الموقع","حالة المعدة","مرشح للإلغاء","شبهة ازدواج مع «الحالة» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Equipments/equipments.php,equipments.php,"سجل المعدات","01 · إدارة الموقع",التوفر,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Employees/equipment_operators.php,operators.php,"سجل المشغّلين","01 · إدارة الموقع",المسمى,"يدخل المستند","موثق بالاسم نفسه في: project_contracts.php",,"يدخل المستند — ق-17 إبقاء شامل"
Employees/equipment_operators.php,operators.php,"سجل المشغّلين","01 · إدارة الموقع",الصلاحية,"يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","☀ نهارية","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","🌙 ليلية","يدخل المستند","خبرة تشغيلية راكمها النظام",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","رقم الأمر","مرشح للإلغاء","شبهة ازدواج مع «رقم التكليف» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","إلى الموقع","مرشح للإلغاء","شبهة ازدواج مع «الموقع» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","نوع المورد","يدخل المستند","موثق بالاسم نفسه في: distribution.php · suppliers.php",,"يدخل المستند — ق-17 إبقاء شامل"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","كود المورد","مرشح للإلغاء","شبهة ازدواج مع «كود المشغّل» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","اسم المورد","مرشح للإلغاء","شبهة ازدواج مع «المعتمِد — الاسم والصفة» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","سبب النقل","مرشح للإلغاء","شبهة ازدواج مع «سبب الإنهاء» في الشاشة نفسها",,"يبقى موسومًا «شبهة ازدواج» — لا حذف (ق-17) ويُراجع وظيفيًّا عند توحيد شاشته"
Operations/distribution_space.php,op_assign.php,"تكليف المشغّل على المعدة","01 · إدارة الموقع","أمر الترحيل المرتبط","يدخل المستند","موثق بالاسم نفسه في: distribution.php · wh_transfer.php",,"يدخل المستند — ق-17 إبقاء شامل"
