الشاشة,الملف,الإدارة,الطبيعة,أفعال اعتماد,أفعال كتابة,الأعمدة اللازمة,الحالة
المخاطر التجارية,commercial_risks.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
المستخلصات والمطالبات,claims.php,المبيعات والعقود,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
المشاريع والمواقع,projects.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الوحدات التعاقدية المرقَّمة,units.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل العملاء,clients.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل حركة العقد,contract_events.php,المبيعات والعقود,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
عروض الأسعار للعملاء,quotations.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
عقود العملاء,contracts.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
قوائم التسعير المعتمدة,pricelists.php,المبيعات والعقود,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
كتالوج الخدمات وبنود البيع,products.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مراجعة العقود وملاحظاتها,contract_review.php,المبيعات والعقود,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
ملاحق العقود وتجديداتها,contract_amendments.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
نماذج العمل ووحدات القياس,business_models.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
وحدات القياس والتحويل,units_of_measure.php,المبيعات والعقود,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أداء الموردين وجاهزيتهم,supplier_perf.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تسويات ومستحقات الموردين,supplier_settle.php,إدارة الموردين,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
تصفية إنهاء عقد مورد,supplier_closure.php,إدارة الموردين,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
تقييم المورد الدوري,supplier_evaluation.php,إدارة الموردين,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
توزيع وحدات المورد على معداته,equipment_quota.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
حسابات الموردين البنكية,supplier_bank.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
حصص الموردين من العقود,supplier_quota.php,إدارة الموردين,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
خطة معدات المورد المتعهَّد بها,supplier_plan.php,إدارة الموردين,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
دفتر استهلاك حصص الموردين,quota_ledger.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل الموردين,suppliers.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سلفيات الموردين,supplier_advances.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
طاقة المورد وجاهزيته ومهلة الإحلال,supplier_capacity.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
عقود الموردين,supplier_contracts.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
قواعد التحميل والجزاءات على المورد,supplier_rules.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
كشف حساب المورد الشهري,supplier_stmt.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
معدات المورد ومالكوها,supplier_equip.php,إدارة الموردين,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أنواع المعدات وفئاتها,equip_types.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الإهلاك والقيمة الدفترية,depreciation.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
جسر ترقيم المعدات,code_bridge.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل المعدات,equipments.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سياسات الإهلاك المعتمدة,dep_profiles.php,إدارة الأسطول,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
قراءات العدّادات,equip_meters.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مصدر المعدة ونمط تملّكها,equipment_sourcing.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مطابقة سجل الأصول بالتشغيل,asset_recon.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
ملّاك الأسطول,fleet_owners.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
موديلات المعدات ومواصفاتها,equip_models.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
وثائق المعدات والمشغّلين,equip_docs.php,إدارة الأسطول,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
أسعار الصرف,fx_rates.php,المالية والخزينة,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
إقفال الفترة المحاسبية,period_close.php,المالية والخزينة,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
التدفق النقدي والتنبؤ,cash_forecast.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
التكاليف والربحية بالمركز,cost_report.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الخزينة والصناديق,treasury.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الفاتورة الضريبية والإقرارات,tax_invoices.php,المالية والخزينة,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
القوائم المالية,fin_statements.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
القيود اليومية,journal.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
المطابقة البنكية,bank_recon.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الموازنة العامة,budget_master.php,المالية والخزينة,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
تتبّع الأثر من الواقعة إلى القيد,effect_map.php,المالية والخزينة,قارئة,لا,لا,"الكيانُ وحدَه",معتمد — بتفويض المالك 2026-08-06
توليد المستحق من العمل المعتمد,entitlement.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
دليل الحسابات ومراكز التكلفة,coa.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
ذمم العملاء وأعمارها,receivables.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
ذمم الموردين والمستحقات,payables.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
زمن دورة الطلبات,cycle_time.php,المالية والخزينة,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
طلبات الدفع والسداد,payments.php,المالية والخزينة,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
فحص شروط الاستحقاق,entitlement_gate.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
فواتير العملاء,invoices.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
قواعد توجيه الطلبات المالية,routing_admin.php,المالية والخزينة,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
كشف حساب العميل,client_statement.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
متابعة انحراف المنفَّذ عن المخطط,variance.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مخصص الصيانة والعمرات,maint_provision.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
مهام المحاسب اليومية,accountant_desk.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
ميزانية إدارتي,budget_dept.php,المالية والخزينة,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
هامش الربح للعقد والواقعة,margin.php,المالية والخزينة,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
الأعيان المموَّلة,fin_assets.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الأقساط ومواعيد السداد,installments.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الخروج غير المسجَّل من الملكية,fin_exit.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
انحرافات التمويل — السداد والملكية والتوثيق,fin_deviations.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تغيّرات عقود التمويل,fin_changes.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
توزيع تكلفة التمويل على المشاريع,fin_cost.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
حصص الملكية في الأصول,shares.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل الممولين,financiers.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
عقود تمويل بلا حركة,fin_idle.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
عمليات التمويل,fin_ops.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
فروق السداد والاستحقاق,fin_variance.php,التمويل والملكية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
نماذج التمويل ومعالجتها,fin_models.php,التمويل والملكية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
الإجازات والغياب,leaves.php,الموارد البشرية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
التوظيف من الشاغر إلى المباشرة,recruitment.php,الموارد البشرية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الحضور والانصراف,attendance.php,الموارد البشرية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الخصومات والجزاءات,deductions.php,الموارد البشرية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
السلف والعهد المالية,advances.php,الموارد البشرية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تصفية إنهاء خدمة موظف,final_settlement.php,الموارد البشرية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تقييم أداء العاملين,worker_evaluation.php,الموارد البشرية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
سجل الموظفين,employees.php,الموارد البشرية,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
عقود المشاريع المؤقتة,project_contracts.php,الموارد البشرية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
عقود الموظفين,emp_contracts.php,الموارد البشرية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
مسيّر الرواتب,payroll.php,الموارد البشرية,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
أنماط تفعيل المزايا,activation.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
إنجاز الإدارة,dept_achievement.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,لا,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الأدوار وقوالب صلاحياتها,roles.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
التراخيص والكفالات,licenses.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
التفويض بالتوقيع,delegations.php,الحوكمة والالتزام,مستندٌ يُعتمد,نعم,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
التكليفات التنظيمية,org_assignments.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
المحاولات الممنوعة,guard_denials.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
المعاونون والنيابة المؤقتة,assistants.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
الهيكل التنظيمي والمسميات,org_structure.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
بصمة الإصدار وتقرير النشر,release_stamp.php,الحوكمة والالتزام,مستندٌ يُعتمد,لا,نعم,"السبعةُ كاملةً — ومنها المعتمِدُ وتاريخُه ومرجعُ التفويض",معتمد — بتفويض المالك 2026-08-06
تصنيف قواعد المنع,guards.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
تفسير مصدر الصلاحية,perm_explain.php,الحوكمة والالتزام,قارئة,لا,لا,"الكيانُ وحدَه",معتمد — بتفويض المالك 2026-08-06
حالات المستندات وانتقالاتها,state_machines.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
حسابات المستخدمين,users.php,الحوكمة والالتزام,سجلٌّ أو إعداد,لا,نعم,"الكيانُ والمُنشئُ وتاريخُ الإنشاءِ والمرجعُ الأب",معتمد — بتفويض المالك 2026-08-06
