table,rows,class,evidence,migration_path
screen_view_rows,1495,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
sec_actions,16,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
sec_perm_backup_20260806,102,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
sec_scopes,9,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
shift_period_defs,4,CHILD,"ابن معلن في العقد (الأب: shift_patterns)","العزل عبر الأب المعلن"
stop_reason_codes,10,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
template_permission_dims,1852,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
tenants,2,CHILD,"مجال مقيد في العقد — العزل عبر قناته المحروسة حصرًا","القناة المقيدة نافذة — وإن رُحّل: اشتقاق من سياق قناته"
ticket_type_workstreams,27,CHILD,"ابن معلن في العقد (الأب: ticket_types)","العزل عبر الأب المعلن"
uat_evidence,50,CHILD,"ابن معلن في العقد (الأب: uat_runs)","العزل عبر الأب المعلن"
unified_fault_taxonomy,0,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
worker_evaluation_kpi,20,CHILD,"ابن معلن في العقد (الأب: worker_evaluation)","العزل عبر الأب المعلن"
worker_settlement_line,20,CHILD,"ابن معلن في العقد (الأب: worker_settlement)","العزل عبر الأب المعلن"
workspace_cards,10,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
workspace_layouts,6,GLOBAL,"مصنف في العقد: global","العقد نافذ — لا عمود"
ems_post_idempotency,0,GLOBAL,"بنيةُ نظامٍ: مفاتيحُ عطالةِ POST عابرةٌ قصيرةُ العمر — تُنظَّف دوريًّا ولا تحمل بيانَ كيان","بنية نظام — لا عمودَ عزل"
role_permissions_archive_auditor,0,GLOBAL,"أرشيفُ لقطةِ منحٍ لمراجعةِ المدقق (2026-08-06) — نسخةٌ تاريخيةٌ من جدولٍ عالميِّ المنح","أرشيفٌ مرجعيٌّ — لا عمودَ عزل"
screen_about,20,GLOBAL,"وصفُ الشاشاتِ التعريفيُّ للمنصةِ كلِّها (screen_about component) — بيانُ واجهةٍ لا بيانُ كيان","مرجعيٌّ مشترك — لا عمودَ عزل"
