المسار,الاسم,"الإجراءُ المطلوب",الحالة,تفصيل
Contracts/commercial_board.php,"اللوحة التجارية للعقود","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Contracts/contract_baseline.php,"خط أساس العقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_card.php,"بطاقة العقد الأم","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Contracts/contract_coverage.php,"التغطية التعاقدية","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Contracts/contract_guarantees.php,"ضمانات العقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_lifecycle.php,"اقتصاد دورة حياة العقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_lines.php,"بنود عقد العميل وقيمته","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_monthly_plan.php,"الجدول الشهري للعقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_obligations.php,"مصفوفة التزامات العقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_payment_schedule.php,"خطة دفع العقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_resource_plan.php,"خطة موارد العقد","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contract_sites.php,"نطاقات العقد التشغيلية","دمجٌ في ملف العقد",applied,merge:contract
Contracts/contracts.php,العقود,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Contracts/contracts_details.php,"ملف عقد المشروع","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Contracts/penalties.php,"احتساب الجزاءات والحوافز","دمجٌ في ملف العقد",applied,merge:contract
Contracts/plan_actual_link.php,"ربط الخطة بالفعلي","دمجٌ في ملف العقد",applied,merge:contract
Contracts/price_terms.php,"شروط تعديل السعر","دمجٌ في ملف العقد",applied,merge:contract
Contracts/tax_invoices.php,"الفاتورة الضريبية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Employees/employee_card.php,"بطاقة الموظف","دمجٌ — اسمٌ مكرر",not_in_nav,"دمجٌ — اسمٌ مكرر"
Employees/employee_contracts.php,"عقود الموظفين","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Employees/employee_contracts_details.php,"ملف عقد الموظف","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Employees/employee_equipment_history.php,"سجل قيادة الشاحنات","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Employees/employee_profile.php,"بطاقة الموظف","دمجٌ — اسمٌ مكرر",not_in_nav,"دمجٌ — اسمٌ مكرر"
Employees/employee_roles.php,"الأدوار الوظيفية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Employees/employees.php,الموظفون,"إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Employees/equipment_operators.php,"المشغّلون والسائقون","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Employees/job_titles.php,"المسميات الوظيفية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Employees/showcontractemployee.php,"عرض عقد الموظف","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Equipments/equipment_documents.php,"وثائق المعدات والمشغّلين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Equipments/equipment_profile.php,"بطاقة المعدة","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Equipments/equipments.php,"إدارة المعدات (نسخة قديمة)","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Equipments/equipments_drivers.php,المعدات,"دمجٌ — اسمٌ مكرر",not_in_nav,"دمجٌ — اسمٌ مكرر"
Equipments/equipments_fleet.php,المعدات,"دمجٌ — اسمٌ مكرر",applied,merge:dup_name
Equipments/equipments_types.php,"أنواع المعدات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Equipments/fleet_depreciation_profiles.php,"إعداد الإهلاك","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Equipments/fleet_failures.php,"تقرير الأعطال — إدارة الأسطول","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Equipments/fleet_models.php,"الأنواع والموديلات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Equipments/manage_failure_codes.php,"تصنيفات الأعطال","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Equipments/meter_readings.php,"قراءات العدّادات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Equipments/select_project.php,"اختيار المشروع لإدارة المعدات","إلغاءُ قائمةٍ وسيطة",not_in_nav,"إلغاءُ قائمةٍ وسيطة"
FinRequests/accountant_desk.php,"مكتب المحاسب","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
FinRequests/cycle_time_board.php,"زمن دورة الطلبات","نقلٌ إلى مركز التقارير",applied,move:reports
FinRequests/dept_inbox.php,"موافقات إدارتي","نقلٌ إلى مساحة عملي",applied,move:workspace
FinRequests/effect_map.php,"سجل الحركة المالية","نقلٌ إلى مركز التقارير",applied,move:reports
FinRequests/finance_gateway.php,"الطلبات المالية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
FinRequests/my_requests.php,"طلباتي المالية","نقلٌ إلى مساحة عملي",applied,move:workspace
FinRequests/request_form.php,"طلب مالي جديد","نقلٌ إلى مساحة عملي",applied,move:workspace
FinRequests/requests_reports.php,"تقارير الطلبات المالية","نقلٌ إلى مركز التقارير",applied,move:reports
FinRequests/routing_admin.php,"قواعد توجيه الطلبات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/accountants_fin.php,"المحاسبون والوحدات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/accounts_fin.php,"دليل الحسابات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/approvals_inbox.php,"صندوق الاعتمادات الموحد","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/assets_fin.php,"الأصول والإهلاك","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/bank_reconciliation_fin.php,"المطابقة البنكية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/budget_form_fin.php,"الميزانية والانحراف","نقلٌ إلى مركز التقارير",applied,move:reports
Finance/cash_forecast_fin.php,"السيولة والتنبؤ النقدي","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/cfo_daily_board_fin.php,"لوحة المدير المالي","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/cost_report_fin.php,"التكاليف والربحية","نقلٌ إلى مركز التقارير",applied,move:reports
Finance/currencies_fin.php,"العملات وأسعار الصرف","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/dues_fin.php,"الذمم والتحصيل","دمجٌ — اسمٌ مكرر",applied,merge:dup_name
Finance/events_list_fin.php,"المعاملات المالية","نقلٌ إلى مركز التقارير",applied,move:reports
Finance/executive_dashboard_fin.php,"اللوحة التنفيذية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/financial_statements_fin.php,"القوائم المالية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/funding_fin.php,"التمويل والالتزامات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Finance/import_events_fin.php,"استقبال معاملات الإدارات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/journal_form_fin.php,"القيود اليومية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/maintenance_provision_fin.php,"قواعد مخصص الصيانة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/management_accounting_fin.php,"المحاسبة الإدارية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/operator_pay_fin.php,"قواعد مستحقات المشغّلين","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Finance/operator_pay_policies_fin.php,"سياسات مستحقات المشغّلين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Finance/payments_fin.php,"المدفوعات والخزينة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/periodic_events_fin.php,"الدوريات المالية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/periods_fin.php,"إقفال الفترات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/supplier_statement_fin.php,"كشف حساب المورد","دمجٌ في ملف المورد",applied,merge:supplier
Finance/tax_fin.php,"الضرائب والقيمة المضافة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/unit_records_fin.php,"وحدات الأطراف","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Finance/variance_monitor_fin.php,"متابعة الانحراف","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Financing/financiers_registry.php,"سجل الممولين","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Financing/financing_board.php,"لوحة إدارة التمويل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Financing/financing_operation_new.php,"إنشاء عملية تمويل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Fleet/readiness_board.php,"لوحة الجاهزية","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Governance/activation_patterns.php,"أنماط التفعيل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Governance/entities_registry.php,"سجل الكيانات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Governance/licenses_guarantees.php,"التراخيص والكفالات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Governance/ownership_grants.php,"منح المجال المقيَّد","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Governance/signing_authority.php,"التفويض بالتوقيع","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Maintenance/breakdowns.php,"البلاغات (غير مفعّلة)","إلغاءُ قائمةٍ وسيطة",not_in_nav,"إلغاءُ قائمةٍ وسيطة"
Maintenance/dashboard_mnt.php,"لوحة إدارة الصيانة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Maintenance/failure_report.php,"تقرير الأعطال (التصنيف الموحد)","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Maintenance/inspections.php,"الفحص الفني اليومي","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Maintenance/master_data.php,"إعدادات الصيانة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Maintenance/orders.php,"أوامر الصيانة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Maintenance/preventive_plans.php,"الصيانة الوقائية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Operations/containers.php,"حاويات العقود","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Operations/daily_plan.php,"خطة عمل الغد","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Operations/distribution_space.php,"مساحة التوزيع","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Operations/operations_room.php,"غرفة عمليات التشغيل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Opportunities/opportunities.php,"الفرص البيعية","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Oprators/oprators.php,"شاشة التشغيل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Oprators/select_project.php,التشغيل,"إلغاءُ قائمةٍ وسيطة",applied,drop:intermediate
Portal/my_achievement.php,إنجازي,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/my_certificate.php,"شهادة الإنجاز","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/my_evaluation.php,"التقييم الثنائي","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/my_portal.php,بوابتي,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/portal_elements.php,"مكوّنات البوابة","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/visibility_audit.php,"سجل تدقيق الظهور","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/visibility_keys.php,"مفاتيح الظهور","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/visibility_simulator.php,"من يرى ماذا (محاكاة)","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Portal/workspace.php,"مساحة العمل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Procurement/dashboard_proc.php,"لوحة المشتريات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/issue_proc.php,"صرف المخزون والعهدة","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/items_proc.php,"كتالوج الأصناف","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/master_data_proc.php,"البيانات المرجعية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Procurement/orders_proc.php,"أوامر الشراء","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/receipt_custody_proc.php,"الاستلام المؤقت","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/reordering_proc.php,"حدود إعادة الطلب","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/requests_proc.php,"طلبات الشراء","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/stock_proc.php,المخزون,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/supplier_card_proc.php,"بطاقة مورد المشتريات","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Procurement/suppliers_proc.php,"موردو المشتريات","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Procurement/warehouse_board.php,"لوحة أمين المستودع","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Projects/project_profile.php,"بطاقة المشروع","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Projects/projects.php,المشاريع,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Projects/sites.php,"مواقع التنفيذ","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Reports/approval_lag_report.php,"الاعتمادات المتأخرة والوثائق","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Reports/contract_report.php,"تقرير إحصائية العقود","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/contractall.php,"تقارير تفصيلية للعقد","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/daily_units_report.php,"سجل الوحدات اليومية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Reports/deliy.php,"التقرير اليومي","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/deriver.php,"تقارير السائقين","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/driverAndsupplerscontract.php,"تقرير ساعات عمل السائقين","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/equipments_reports.php,"تقرير المعدات","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/exceptions_report.php,"تقرير الاستثناءات","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/guard_denials_report.php,"تقرير المنع","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/margin_report.php,"هامش الواقعة والعقد","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/new_reports.php,"لوحة التقارير","إلغاءُ قائمةٍ وسيطة",not_in_nav,"إلغاءُ قائمةٍ وسيطة"
Reports/projects_reports.php,"تقرير المشاريع","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/reports.php,"مركز التقارير","دمجٌ — اسمٌ مكرر",applied,merge:dup_name
Reports/timesheet_reports.php,"تقرير ساعات العمل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Reports/timesheetdeliy.php,"تقرير التايم شيت اليومي","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Settings/change_password.php,"تغيير كلمة السر","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Settings/guard_classification.php,"تصنيف الحمايات","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Settings/modules.php,"إدارة الصفحات والوحدات","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Settings/role_permissions.php,"صلاحيات الأدوار","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Settings/roles.php,الأدوار,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Settings/settings.php,الإعدادات,"إلغاءُ قائمةٍ وسيطة",applied,drop:intermediate
Suppliers/rfq_requests.php,"طلبات عروض الموردين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Suppliers/settlements.php,"تسويات الموردين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Suppliers/showcontractsuppliers.php,"عرض عقد المورد","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Suppliers/supplier_advances.php,"سلفيات الموردين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Suppliers/supplier_capacity.php,"الطاقة والجاهزية ومهلة الإحلال","دمجٌ في ملف المورد",applied,merge:supplier
Suppliers/supplier_closure.php,"تصفية إنهاء عقد المورد","دمجٌ في ملف المورد",applied,merge:supplier
Suppliers/supplier_contract_lines.php,"بنود عقد المورد","دمجٌ في ملف المورد",applied,merge:supplier
Suppliers/supplier_documents.php,"وثائق المورد وحسابه البنكي","دمجٌ في ملف المورد",applied,merge:supplier
Suppliers/supplier_evaluation.php,"تقييم المورد الدوري","دمجٌ في ملف المورد",applied,merge:supplier
Suppliers/supplier_profile.php,"بطاقة المورد","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Suppliers/supplier_rules.php,"قواعد تحميل المورد وجزاءاته","دمجٌ في ملف المورد",applied,merge:supplier
Suppliers/suppliers.php,الموردون,"إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Suppliers/suppliers_details.php,"تفاصيل المورد","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Suppliers/supplierscontracts.php,"عقود الموردين","إبقاءٌ مع تجميع",applied,"في قوائم مالكه وحدَها بعد إعادة التوزيع"
Suppliers/supplierscontracts_details.php,"ملف عقد المورد","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Tickets/ticket_categories_config.php,"تصنيفات الأعطال والبلاغات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/ticket_contextual_open.php,"بلاغ سياقي جديد","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Tickets/ticket_dashboard.php,"أداء البلاغات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/ticket_escalation_config.php,"سلّم التصعيد","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/ticket_form.php,"تسجيل بلاغ","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Tickets/ticket_recurrence.php,"البلاغات الدورية","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/ticket_sla_config.php,"أزمنة الاستجابة والإنجاز","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/ticket_types_config.php,"إعداد أنواع البلاغات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/ticket_workstreams_board.php,"لوحة مسارات البلاغات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/tickets_list.php,البلاغات,"إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Tickets/watchtower.php,"برج المراقبة","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Timesheet/aprovment.php,"تأكيد أو رفض ساعات العمل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Timesheet/timesheet.php,"ساعات العمل (إدخال الدوام)","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Timesheet/timesheet_details.php,"تفاصيل ساعات العمل","إبقاءٌ خارج القائمة",not_in_nav,"إبقاءٌ خارج القائمة"
Timesheet/timesheet_type.php,"تسجيل الوحدات","إلغاءُ قائمةٍ وسيطة",applied,drop:intermediate
Timesheet/view_timesheet.php,"عرض ساعات العمل","يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد",not_in_nav,"يُصنَّف: تقريرٌ أم تبويبٌ أم تجميد"
Transport/transfer_cost_rules_config.php,"قواعد تحميل تكلفة الترحيل","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
Transport/transfer_dashboard.php,"لوحة الرحلات","إبقاءٌ مع تجميع",applied,"حيٌّ في مجموعته"
