code,kind,state,live_code,screen,code_occurrences,files,verdict
ajax.suppliers.supplier_contract_actions_handler,dictionary,bound_page,page:suppliers/supplier_contract_actions_handler.php,suppliers,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.tickets.get_tickets_count,dictionary,bound_page,page:tickets/get_tickets_count.php,tickets,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_contract_hours,dictionary,bound_page,page:timesheet/get_contract_hours.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_drivers,dictionary,bound_page,page:timesheet/get_drivers.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_failure_codes,dictionary,bound_page,page:timesheet/get_failure_codes.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_operations,dictionary,bound_page,page:timesheet/get_operations.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_timesheet,dictionary,bound_page,page:timesheet/get_timesheet.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_timesheet_data,dictionary,bound_page,page:timesheet/get_timesheet_data.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ajax.timesheet.get_timesheet_failures,dictionary,bound_page,page:timesheet/get_timesheet_failures.php,timesheet,1,database/migrations/2027_07_30_register_live_actions_in_dictionary.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
amend.activate,dictionary,alias,ajax.contracts.contract_actions_handler,"ملاحق العقود وتجديداتها",2,"tools/cnt19_probe.php | tools/nav09_import_actions.php","bound — مربوطٌ بمعالجٍ حي"
ap.oblig.generate,dictionary,bound_page,ap.oblig.generate,"توليدُ التزاماتِ التغطية",2,"tools/cnt19_probe.php | database/migrations/2027_05_10_registry_completion.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ap.shares.allocate,dictionary,bound_page,ap.shares.allocate,"توزيعُ حصصِ التغطيةِ على الموردين",2,"tools/cnt19_probe.php | database/migrations/2027_05_10_registry_completion.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
approval.grant,dictionary,alias,ajax.approvals.hours_approval_handler,"صندوق ما ينتظر اعتمادي",2,"tools/m14_ac_gate.php | tools/nav09_import_actions.php","bound — مربوطٌ بمعالجٍ حي"
approval.reject,dictionary,bound_page,Governance/gov_m14_actions.php::approval_reject,"صندوق ما ينتظر اعتمادي",3,"tools/m14_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
approval.return,dictionary,bound_page,Governance/gov_m14_actions.php::approval_return,"صندوق ما ينتظر اعتمادي",4,"tools/m14_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
asg.issue,dictionary,bound_page,page:admin/org_assignments.php,"التكليفات التنظيمية",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
asset.assign,dictionary,declared_unbuilt,,"توزيع المعدات والمشغّلين",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
asset.create,dictionary,bound_page,page:Equipments/equipments.php,"سجل المعدات",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
asset.dispose,dictionary,bound_page,page:Equipments/equipments.php,"سجل المعدات",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
asset.hours.link,dictionary,declared_unbuilt,,asset,3,"tools/eng01_build_screens.php | Finance/asset_hours_link.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
asset.link,dictionary,bound_page,page:Equipments/fin_assets.php,"الأعيان المموَّلة",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
ast.assign,dictionary,bound_page,page:main/all_assistants.php,"المعاونون والنيابة المؤقتة",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
att.record,dictionary,bound_page,page:Operations/attendance.php,"الحضور والانصراف",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
audit.export,dictionary,bound_page,page:ActivityLogs/activity_logs.php,"سجل التدقيق والاطّلاع",2,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
audit.read,dictionary,bound_page,page:ActivityLogs/activity_logs.php,"سجل التدقيق والاطّلاع",2,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
bank.verify,dictionary,bound_page,page:Suppliers/supplier_bank.php,"حسابات الموردين البنكية",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
board.drill,dictionary,bound_page,page:Portal/ceo_board.php,"لوحة المدير التنفيذي",1,app/Services/Work/WorkItemService.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
bridge.link,dictionary,bound_page,page:Equipments/code_bridge.php,"جسر ترقيم المعدات",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
budget.approve,dictionary,bound_page,Finance/fin_m10_actions.php::budget_approve,"الموازنة العامة",4,"tools/m10_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
budget.commit,dictionary,bound_page,Finance/fin_m10_actions.php::budget_commit,"الموازنة العامة",5,"tools/m10_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
budget.request,dictionary,bound_page,Finance/fin_m10_actions.php::budget_change_request,"ميزانية إدارتي",2,"tools/m10_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
bus.board.view,dictionary,bound_page,page:Governance/bus_board.php,Governance,5,"tools/eng01_build_screens.php | Governance/bus_board.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php | database/migrations/2027_06_28_bus_actions_handler_fix.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
bus.deliver,dictionary,declared_unbuilt,,bus,3,"tools/eng01_build_screens.php | Governance/bus_deliveries.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
bus.dlq.decide,dictionary,declared_unbuilt,,bus,4,"tools/eng01_build_screens.php | Governance/bus_deliveries.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
bus.event.publish,dictionary,declared_unbuilt,,bus,5,"tools/eng01_build_screens.php | Governance/bus_outbox.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php | database/migrations/2027_06_28_bus_actions_handler_fix.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cal.approve,dictionary,bound_page,page:Operations/site_work_calendar.php,"جدول عمل المنجم — الأسبوعي والشهري",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
cap.measure,dictionary,bound_page,page:Suppliers/supplier_capacity.php,"طاقة المورد وجاهزيته ومهلة الإحلال",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cap.switch,dictionary,bound_page,page:user_capacities.php,"صفاتي والتبديل بينها",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
capacity.consume,dictionary,declared_unbuilt,,capacity,4,"tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
carrier.assign,dictionary,bound_page,page:Transport/transfer_fleet.php,"اللوابد والمركبات الناقلة",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
cash.forecast,dictionary,bound_page,page:Finance/cash_forecast_fin.php,"التدفق النقدي والتنبؤ",2,tools/m10_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.approve,dictionary,bound_page,page:Portal/ceo_approvals.php,"اعتمادات المدير التنفيذي",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
ceo.approve.assignment,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.approve.over.cap,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.check.sod.auto,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.decide.audit.finding,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.decide.reserved.matter,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.receive.audit.report,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ceo.sign,dictionary,bound_page,page:Portal/ceo_contracts.php,"توقيع العقود والالتزامات",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
ceo.view.assignment.log,dictionary,pending,,,1,tools/u13_reverse_audit.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cert.issue,dictionary,bound_page,page:Portal/my_certificate.php,"شهادة إنجازي",1,app/Services/Work/WorkItemService.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
chain.complete,dictionary,alias,unit.chain.approve,"تسجيل التايم شيت والإنتاج",1,tools/nav09_import_actions.php,"bound — مربوطٌ بمعالجٍ حي"
chain.ops,dictionary,alias,unit.chain.approve,"تسجيل التايم شيت والإنتاج",1,tools/nav09_import_actions.php,"bound — مربوطٌ بمعالجٍ حي"
chain.site,dictionary,alias,unit.chain.approve,"تسجيل التايم شيت والإنتاج",2,"tools/act09_links_check.php | tools/nav09_import_actions.php","bound — مربوطٌ بمعالجٍ حي"
change.record,dictionary,bound_page,page:Financing/fin_changes.php,"تغيّرات عقود التمويل",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
claim.client.approve,dictionary,bound_page,page:Contracts/claims.php,"المستخلصات والمطالبات",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
claim.issue,dictionary,bound_page,page:Contracts/claims.php,"المستخلصات والمطالبات",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
client.create,dictionary,bound_page,page:Clients/clients.php,"سجل العملاء",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cnt.annual.open,dictionary,bound_page,cnt.annual.open,"فتحُ الحاويةِ السنوية",2,"tools/cnt19_probe.php | database/migrations/2027_05_20_upgrade_declared_actions.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cnt.slot.allocate,dictionary,bound_page,cnt.slot.allocate,"إسنادُ خانةٍ لمورد",2,"tools/cnt19_probe.php | database/migrations/2027_05_20_upgrade_declared_actions.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cnt.slots.open,dictionary,bound_page,cnt.slots.open,"فتحُ خاناتِ الآليات",2,"tools/cnt19_probe.php | database/migrations/2027_05_20_upgrade_declared_actions.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cnt.types.define,dictionary,bound_page,cnt.types.define,"تعريفُ حاوياتِ الأنواع",2,"tools/cnt19_probe.php | database/migrations/2027_05_20_upgrade_declared_actions.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
code.assign,dictionary,bound_page,page:Workforce/op_codes.php,"أرقام المشغّلين الشاغرة",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
collection.record,dictionary,declared_unbuilt,,collection,8,"tools/act_nine_path.php | tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
collection.reverse,dictionary,declared_unbuilt,,collection,4,"tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cons.flag,dictionary,bound_page,page:Procurement/consumption_rate.php,"استهلاك المعدة ومعدله",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
contract.activate,dictionary,alias,ajax.contracts.contractequipments_handler,"عقود العملاء",1,tools/cnt19_probe.php,"bound — مربوطٌ بمعالجٍ حي"
contract.approve,dictionary,bound_page,page:Contracts/contracts.php,"عقود العملاء",3,"tools/fix_inj_tests.php | database/migrations/2027_01_21_fix_inj0001_contract_actions.php | Contracts/contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
contract.sign,dictionary,bound_page,page:Employees/employee_contracts.php,"عقود الموظفين",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
contract.submit_negotiation,dictionary,bound_page,page:Contracts/contracts.php,"عقود العملاء",3,"tools/fix_inj_tests.php | database/migrations/2027_01_21_fix_inj0001_contract_actions.php | Contracts/contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cost.allocate,dictionary,declared_unbuilt,,"توزيع تكلفة التمويل على المشاريع",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
cost.compute,dictionary,bound_page,page:Finance/cost_report_fin.php,"التكاليف والربحية بالمركز",2,tools/m10_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
cov.define,dictionary,alias,cov.define,"التزام العقد بنوع المعدة",2,"tools/cnt19_probe.php | database/migrations/2027_05_20_upgrade_declared_actions.php","bound — مربوطٌ بمعالجٍ حي"
coverage.substitute.activate,dictionary,declared_unbuilt,,coverage,7,"tools/act_nine_path.php | tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
coverage.substitute.end,dictionary,declared_unbuilt,,coverage,5,"tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
custody.return,dictionary,bound_page,page:Procurement/receipt_custody_proc.php,"العهد والمرتجعات",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
cycle.measure,dictionary,bound_page,Finance/fin_m10_actions.php::cycle_measure,"زمن دورة الطلبات",2,"tools/m10_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
ded.approve,dictionary,bound_page,page:Workforce/deductions.php,"الخصومات والجزاءات",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
ded.propose,dictionary,declared_unbuilt,,"خصومات المشغّلين المقترحة",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
deleg.grant,dictionary,bound_page,page:Governance/signing_authority.php,"التفويض بالتوقيع",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
denial.review,dictionary,bound_page,Governance/gov_m14_actions.php::denial_review,"المحاولات الممنوعة",5,"tools/m14_ac_gate.php | tools/u12_setup.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
dep.policy,dictionary,bound_page,page:Equipments/fleet_depreciation_profiles.php,"سياسات الإهلاك المعتمدة",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
dep.post,dictionary,bound_page,page:Finance/assets_fin.php,"الإهلاك والقيمة الدفترية",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
depr.reverse,dictionary,declared_unbuilt,,depr,4,"tools/eng01_build_screens.php | Finance/depr_run.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
depr.run,dictionary,declared_unbuilt,,depr,4,"tools/eng01_build_screens.php | Finance/depr_run.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
desk.post,dictionary,bound_page,page:FinRequests/request_actions.php,"مهام المحاسب اليومية",2,tools/m10_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
dev.close,dictionary,alias,financing.deviation.close,"انحرافات التمويل — السداد والملكية والتوثيق",0,,"bound — مربوطٌ بمعالجٍ حي"
doc.expire,dictionary,bound_page,page:Equipments/equipment_documents.php,"وثائق المعدات والمشغّلين",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
dr.restore.drill,dictionary,declared_unbuilt,,dr,3,"tools/eng01_build_screens.php | Governance/dr_restore.php | database/migrations/2027_05_26_eng01_actions_modules_nav.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
dt.define,dictionary,bound_page,page:Governance/doc_types.php,"سجل أنواع المستندات",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
emp.create,dictionary,bound_page,page:Employees/employees.php,"سجل الموظفين",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
emp.settle,dictionary,bound_page,page:Workforce/final_settlement.php,"تصفية إنهاء خدمة موظف",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
entitlement.gate.approve,dictionary,declared_unbuilt,,entitlement,5,"tools/act09_links_check.php | tools/act_nine_path.php | tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
entitlement.gate.reverse,dictionary,declared_unbuilt,,entitlement,5,"tools/act09_links_check.php | tools/act_seed_actions.php | tools/act_seed_contracts.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
entity.create,dictionary,bound_page,page:Governance/entities_registry.php,"سجل الشركات والكيانات",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
eq.quota.allocate,dictionary,bound_page,page:Operations/equipment_quota.php,"توزيع وحدات المورد على معداته",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
eq.quota.shift,dictionary,bound_page,page:Operations/equipment_quota.php,"توزيع وحدات المورد على معداته",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
eqt.define,dictionary,bound_page,page:Equipments/equipments_types.php,"أنواع المعدات وفئاتها",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
esc.auto,dictionary,bound_page,page:Tickets/ticket_escalation_config.php,"مهل البلاغات وتصعيدها",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
eval.submit,dictionary,bound_page,page:Portal/my_evaluation.php,تقييمي,0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
evt.log,dictionary,bound_page,page:Clients/contract_events.php,"سجل حركة العقد",1,tools/cnt19_probe.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
exception.grant,dictionary,bound_page,page:Governance/exceptions.php,"طلبات الاستثناء",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
exec.assign.conflict,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
exec.assign.decide,dictionary,pending,,,5,"tools/u13_coverage_seed.php | tools/u13_screens_manifest.php | Portal/ceo_assignments.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
exec.assign.effective,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
exec.assign.request,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
exit.record,dictionary,alias,financing.deviation.close,"الخروج غير المسجَّل من الملكية",0,,"bound — مربوطٌ بمعالجٍ حي"
fail.classify,dictionary,bound_page,page:Equipments/manage_failure_codes.php,"تصنيف الأعطال وأسبابها",0,,"dictionary_only — قاموسٌ بلا أثرٍ في الكود (معلَّق)"
field.classify,dictionary,bound_page,page:Governance/sensitive_fields.php,"سياسات الحقول الحساسة",1,tools/m14_ac_gate.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
fin.alert.escalate,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
fin.alert.fire,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
fin.approve.assert,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
fin.approve.budget,dictionary,pending,,,1,tools/u13_coverage_seed.php,"used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
fin.approve.commit,dictionary,pending,,,5,"tools/u13_coverage_seed.php | tools/u13_limit_actions_map.php","used_unbound — يظهر في الكودِ وربطُه غيرُ موثَّق"
