الحكم,الملف,الاسم,الطراز,التفصيل,السلوك
موحَّد,fleet/numbering_bridge.php,"مصالحة ترقيم الأصول","عُدّةٌ: u13_screen_kit","ems-form u13-act · 10 حقلًا",—
موحَّد,fleet/open_points.php,"النقاط غير المحسومة","عُدّةٌ: u13_screen_kit","ems-form u13-act · 13 حقلًا",—
موحَّد,fleet/owner_reconciliation.php,"مصالحة الأسطول بالملاك","عُدّةٌ: u13_screen_kit","ems-form u13-act · 12 حقلًا",—
موحَّد,fleet/power_sources.php,"مصادر القدرة","عُدّةٌ: u13_screen_kit","ems-form u13-act · 10 حقلًا",—
موحَّد,fleet/register_operation_recon.php,"مصالحة السجل بالتشغيل","عُدّةٌ: u13_screen_kit","ems-form u13-act · 11 حقلًا",—
موحَّد,fleet/source_conflicts.php,"التضاربات بين المصادر","عُدّةٌ: u13_screen_kit","ems-form u13-act · 10 حقلًا",—
موحَّد,fleet/technical_state.php,"الحالة الفنية","عُدّةٌ: u13_screen_kit","ems-form u13-act · 7 حقلًا",—
موحَّد,fleet/use_right_ranges.php,"نطاقات حق الاستخدام","عُدّةٌ: u13_screen_kit","ems-form u13-act · 4 حقلًا",—
موحَّد,Maintenance/inspections.php,"الفحص الفني اليومي",allforms/ems-form,"2 نموذج",طيّ+زرّ
"بلا نموذج",Equipments/fleet_failures.php,"تقرير الأعطال",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Equipments/gov_dept_flt.php,"حوكمة إدارة الأسطول",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Equipments/select_project.php,"تخصيص المعدات للمشروعات",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Finance/asset_hours_link.php,"ربط الأصل بساعات تشغيله",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Finance/depr_run.php,"محاسبة الأصول الثابتة والإهلاك",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",fleet/asset_card.php,"كرت الأصل","u13 بلا فعلِ تسجيل",—,—
"بلا نموذج",fleet/asset_documents.php,"مستندات الأصل","u13 بلا فعلِ تسجيل",—,—
"بلا نموذج",Fleet/asset_full_history.php,"تاريخ المعدة الكامل",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Fleet/asset_hours_reference.php,"مرجع ساعات التشغيل للإهلاك",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",fleet/asset_life_reference.php,"مرجع العمر الإنتاجي بالساعات","u13 بلا فعلِ تسجيل",—,—
"بلا نموذج",Fleet/asset_readiness.php,"الملخص التشغيلي الشهري",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",fleet/breakdown_log.php,"سجل الأعطال والتوقفات","u13 بلا فعلِ تسجيل",—,—
"بلا نموذج",fleet/classification_directory.php,"دليل الترميز والتصنيف","u13 بلا فعلِ تسجيل",—,—
"بلا نموذج",Fleet/fleet_schema_matrix.php,"مصفوفة بنية الشيتات",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Fleet/readiness_board.php,"جاهزية المعدات للتشغيل",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Fleet/readiness_cert.php,"شهادات جاهزية المعدات",قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",fleet/state_change_log.php,"سجل تغير الحالة","u13 بلا فعلِ تسجيل",—,—
"بلا نموذج",Reports/equipments_reports.php,equipments_reports,قراءةٌ/لوحةٌ/تقرير,—,—
"بلا نموذج",Risk/risk_dept_flt.php,"مخاطر الأسطول",قراءةٌ/لوحةٌ/تقرير,—,—
