الشركة,"رقم الصف",التاريخ,النوع,الكمية,المشروع,المعدة,المرجع,الحالة
4,UNT-049379,2022-08-22,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049380,2022-08-23,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049381,2022-08-24,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049382,2022-08-25,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049383,2022-08-26,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049384,2022-08-27,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049385,2022-08-28,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049386,2022-08-29,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049387,2022-08-30,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049388,2022-08-31,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049389,2022-09-01,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049390,2022-09-02,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049391,2022-09-03,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049392,2022-09-04,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049393,2022-09-05,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049394,2022-09-06,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049395,2022-09-07,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049396,2022-09-08,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049397,2022-09-09,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049398,2022-09-10,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049399,2022-09-11,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049400,2022-09-12,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049401,2022-09-13,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049402,2022-09-14,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049403,2022-09-15,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049404,2022-09-16,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049405,2022-09-17,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049406,2022-09-18,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049407,2022-09-19,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049408,2022-09-20,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049409,2022-09-21,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049410,2022-09-22,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049411,2022-09-23,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049412,2022-09-24,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049413,2022-09-25,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049414,2022-09-26,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049415,2022-09-27,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049416,2022-09-28,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049417,2022-09-29,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049418,2022-09-30,طن,0.00,"مشروع محمدالأمين النيل إبراهيم","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-049602,2023-03-01,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049663,2023-03-01,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049603,2023-03-02,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049664,2023-03-02,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049665,2023-03-03,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049604,2023-03-03,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049666,2023-03-04,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049605,2023-03-04,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049606,2023-03-05,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049667,2023-03-05,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049607,2023-03-06,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049668,2023-03-06,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049669,2023-03-07,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049608,2023-03-07,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049609,2023-03-08,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049670,2023-03-08,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049671,2023-03-09,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049610,2023-03-09,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049611,2023-03-10,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049672,2023-03-10,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049673,2023-03-11,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049612,2023-03-11,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049613,2023-03-12,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049674,2023-03-12,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049675,2023-03-13,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049614,2023-03-13,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049676,2023-03-14,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049615,2023-03-14,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049677,2023-03-15,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049616,2023-03-15,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049617,2023-03-16,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049678,2023-03-16,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049679,2023-03-17,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049618,2023-03-17,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049619,2023-03-18,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049680,2023-03-18,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049620,2023-03-19,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049681,2023-03-19,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049682,2023-03-20,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049621,2023-03-20,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049683,2023-03-21,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049622,2023-03-21,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049623,2023-03-22,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049684,2023-03-22,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049685,2023-03-23,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049624,2023-03-23,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049686,2023-03-24,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049625,2023-03-24,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049626,2023-03-25,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049687,2023-03-25,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049627,2023-03-26,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049688,2023-03-26,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049628,2023-03-27,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049689,2023-03-27,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049690,2023-03-28,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049629,2023-03-28,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049691,2023-03-29,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049630,2023-03-29,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049692,2023-03-30,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049631,2023-03-30,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049632,2023-03-31,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049693,2023-03-31,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049694,2023-04-01,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049633,2023-04-01,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049634,2023-04-02,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049695,2023-04-02,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049696,2023-04-03,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049635,2023-04-03,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049697,2023-04-04,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049636,2023-04-04,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049698,2023-04-05,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049637,2023-04-05,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049699,2023-04-06,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049638,2023-04-06,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049700,2023-04-07,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049639,2023-04-07,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049701,2023-04-08,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049640,2023-04-08,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049641,2023-04-09,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049702,2023-04-09,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049703,2023-04-10,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049642,2023-04-10,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049704,2023-04-11,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049643,2023-04-11,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049705,2023-04-12,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049644,2023-04-12,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049706,2023-04-13,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049645,2023-04-13,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049707,2023-04-14,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049646,2023-04-14,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049647,2023-04-15,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049708,2023-04-15,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049709,2023-04-16,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049648,2023-04-16,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049710,2023-04-17,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049649,2023-04-17,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049650,2023-04-18,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049711,2023-04-18,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049651,2023-04-19,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049712,2023-04-19,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049713,2023-04-20,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049652,2023-04-20,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049714,2023-04-21,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049653,2023-04-21,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049715,2023-04-22,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049654,2023-04-22,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049655,2023-04-23,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049716,2023-04-23,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049717,2023-04-24,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049656,2023-04-24,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049657,2023-04-25,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049718,2023-04-25,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049719,2023-04-26,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049658,2023-04-26,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049720,2023-04-27,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049659,2023-04-27,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049721,2023-04-28,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049660,2023-04-28,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049661,2023-04-29,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049722,2023-04-29,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-049662,2023-04-30,طن,0.00,"مشروع ياسر عباس",HMK220LC-2,UAT-B07,converted
4,UNT-049723,2023-04-30,طن,0.00,"مشروع ياسر عباس","Excavator HEDROMEK HMK300",UAT-B07,converted
4,UNT-043955,2025-08-02,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043956,2025-08-03,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043957,2025-08-04,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043959,2025-08-06,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043960,2025-08-07,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043961,2025-08-08,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043963,2025-08-10,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043964,2025-08-11,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043965,2025-08-12,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043967,2025-08-14,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043968,2025-08-15,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043969,2025-08-16,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043971,2025-08-18,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043972,2025-08-19,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043973,2025-08-20,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043975,2025-08-22,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043976,2025-08-23,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043977,2025-08-24,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043979,2025-08-26,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043980,2025-08-27,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043981,2025-08-28,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043983,2025-08-30,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-043984,2025-08-31,متر,0.00,"شركة فاروس لتعدين الذهب المحدودة","خرامة DM1001",UAT-B07,converted
4,UNT-052180,2025-11-02,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-051996,2025-11-02,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1072",UAT-B07,converted
4,UNT-051294,2025-11-02,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1060",UAT-B07,converted
4,UNT-052181,2025-11-03,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-051295,2025-11-03,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1060",UAT-B07,converted
4,UNT-051997,2025-11-03,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1072",UAT-B07,converted
4,UNT-052182,2025-11-04,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-051296,2025-11-04,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1060",UAT-B07,converted
4,UNT-051998,2025-11-04,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1072",UAT-B07,converted
4,UNT-052184,2025-11-06,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-051298,2025-11-06,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1060",UAT-B07,converted
4,UNT-052000,2025-11-06,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1072",UAT-B07,converted
4,UNT-052185,2025-11-07,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","DAEWOO K6DEF 2021",UAT-B07,converted
4,UNT-052001,2025-11-07,طن,0.00,"شركة فاروس لتعدين الذهب المحدودة","قلاب TQ1072",UAT-B07,converted
