group,screen,decision_table,my_guess,fields_to_add,current_shell,note,candidates
B,Portal/my_portal.php,,work_items,7,my_portal,اختر من المرشَّحين,work_items(5424) | requests(63) | personal_notifications(11133) | achievement_records(0) | messages(53) | portal_activity_log(380)
B,Portal/my_tasks.php,,work_items,10,my_tasks,اختر من المرشَّحين,users(80) | work_items(5424) | work_delegations(0) | project(125)
B,Portal/vp_actions_followup.php,,exec_decisions,12,exec_action_followup,اختر من المرشَّحين,exec_decisions(30)
B,Portal/vp_departments.php,,org_assignment_types,16,exec_org_project,اختر من المرشَّحين,org_assignment_types(14) | org_assignments(87) | org_units(24) | fin_requests(23) | risk_register(20) | exec_dept_caps(20)
B,Portal/vp_pending_actions.php,,exec_approvals,9,dvp_vp_pending_actions,اختر من المرشَّحين,exec_approvals(32) | exec_decisions(30) | risk_escalations(20)
B,Procurement/dashboard_proc.php,,proc_request,6,prc_dashboard_kpi,اختر من المرشَّحين,proc_request(26) | proc_issue(22) | proc_item(21)
B,Procurement/stock_proc.php,,proc_stock_move,9,wh_stock_proc,اختر من المرشَّحين,proc_warehouse(20) | proc_stock_move(25) | proc_item(21) | proc_stock_state(0) | admin_companies(2)
B,Procurement/wh_count.php,,proc_warehouse,16,wh_count,اختر من المرشَّحين,proc_count_session(0) | proc_count_line(0) | proc_warehouse(20) | proc_item(21) | proc_stock_move(25)
B,Risk/risk_reports.php,,risk_register,9,rsk_risk_reports,اختر من المرشَّحين,risk_register(20) | risk_controls(20) | risk_export_log(20) | risk_units(12) | users(80)
B,Transport/transfer_in_transit.php,,transfer_orders,14,trp_transfer_in_transit,اختر من المرشَّحين,transfer_orders(20) | trs_locations(20) | transfer_events(20) | trp_trip_leg(0) | equipments(219) | employees(373)
B,Transport/transfer_orders_report.php,,trp_kpi_period,10,trp_transfer_orders_report,اختر من المرشَّحين,trp_kpi_period(11)
B,Workforce/recruitment_pipeline.php,,rec_applications,21,hr_recruitment_pipeline,اختر من المرشَّحين,rec_applications(32) | rec_vacancies(20)
C,Clients/client_contacts.php,,clients,12,sal_client_contacts,لا جدولَ عرضٍ في الصفحة — قد لا يكون لها جدولٌ أصلًا,
C,Contracts/commercial_board.php,,,5,sal_commercial_board,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Fleet/fleet_schema_matrix.php,,information_schema,12,flt_fleet_schema_matrix,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Maintenance/dashboard_mnt.php,,equipments,7,mnt_dashboard_kpi,لا جدولَ عرضٍ في الصفحة — قد لا يكون لها جدولٌ أصلًا,mnt_order(22) | equipments(219) | operations(478) | mnt_plan(20) | mnt_inspection(23)
C,Maintenance/workshop.php,,,16,mnt_workshop,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Operations/attendance.php,,,14,hr_attendance,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Operations/monthly_close.php,,,20,ops_monthly_close,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Operations/site_gate_equip.php,,,17,site_gate_equip,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Portal/my_achievement.php,,,9,my_achievement,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Portal/vp_dashboard.php,,,12,dvp_dashboard_kpi,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Tickets/gov_dept_crp.php,,,6,tkt_dashboard_kpi,لا جدولَ عرضٍ في الصفحة — قد لا يكون لها جدولٌ أصلًا,
C,Tickets/ticket_contextual_open.php,,ticket_types,21,tkt_ticket_contextual_open,لا جدولَ عرضٍ في الصفحة — قد لا يكون لها جدولٌ أصلًا,ticket_types(20)
C,Transport/transfer_dashboard.php,,transfer_orders,6,trp_dashboard_kpi,لا جدولَ عرضٍ في الصفحة — قد لا يكون لها جدولٌ أصلًا,transfer_orders(20) | project(125) | trs_locations(20)
C,Transport/transfer_fleet.php,,,17,trp_transfer_fleet,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,Workforce/project_contracts.php,,,16,hr_project_contracts,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
C,user_capacities.php,,,10,my_user_capacities,لا جدولَ ظاهرًا في شيفرةِ الصفحة,
