"اسم الملف",العنوان,ظهورات,الإدارات,التكييف,"المرشَّح البديل",الدليل,الثقة
acc_variance.php,"انحرافات الموازنة",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/ctrl_doc_variance.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
activation.php,"أنماط تفعيل المزايا",1,"الحوكمة والالتزام",IMPLEMENTED_UNDER_OTHER_ROUTE,Governance/activation_patterns.php,"التسميةُ «أنماط تفعيل المزايا» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
advances.php,"السلف والعهد المالية",1,"الموارد البشرية",IMPLEMENTED_UNDER_OTHER_ROUTE,Workforce/employee_advances.php,"التسميةُ «السلف والعهد المالية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ap_oblig_gen.php,"توليد التزامات عقد المورد",2,"المالية والخزينة · إدارة الموردين",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/contract_obligations.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ar_accrual_gen.php,"توليد استحقاقات عقد العميل",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/contract_lines.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ar_accrual_sched.php,"جدول استحقاقات العميل",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/ob_schedule.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ar_claim_invoice.php,"فاتورة المطالبة وإحالتها للتحصيل",1,"المالية والخزينة",REQUIRED_AND_MISSING,Contracts/claim_helpers.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ar_completion_cert.php,"شهادة الإنجاز الشهرية",1,"المالية والخزينة",REQUIRED_AND_MISSING,Fleet/readiness_cert.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
assistants.php,"المعاونون والنيابة المؤقتة",1,"الحوكمة والالتزام",IMPLEMENTED_UNDER_OTHER_ROUTE,main/all_assistants.php,"التسميةُ «المعاونون والنيابة المؤقتة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
audit.php,"سجل التدقيق والاطّلاع",2,"الحوكمة والالتزام · التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,ActivityLogs/activity_logs.php,"التسميةُ «سجل التدقيق والاطّلاع» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
bank_recon.php,"المطابقة البنكية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/bank_reconciliation_fin.php,"التسميةُ «المطابقة البنكية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
cash_forecast.php,"التدفق النقدي والتنبؤ",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cash_forecast_fin.php,"التسميةُ «التدفق النقدي والتنبؤ» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
central_proc_budget.php,"ميزانية المشتريات المركزية المجمَّعة",1,"إدارة المشتريات التشغيلية",REQUIRED_AND_MISSING,cron_proc_replenish.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ceo_appointments.php,"موافقات التكليف على المسميات القيادية",1,"مكتب الرئيس التنفيذي والنواب",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/distribution_space.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ceo_audit_inbox.php,"تقارير المراجعة الداخلية — الرئيس",1,"مكتب الرئيس التنفيذي والنواب",IMPLEMENTED_UNDER_OTHER_ROUTE,Portal/ceo_audit_reports.php,"تداخلُ 3 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ceo_fin_approvals.php,"الاعتمادات المالية العليا — الرئيس",1,"مكتب الرئيس التنفيذي والنواب",IMPLEMENTED_UNDER_OTHER_ROUTE,Portal/ceo_approvals.php,"تداخلُ 2 رمزًا في الاسمِ مع سطحٍ حيّ","متوسطة — تحتاج حسمَ بشر"
ceo_reserved.php,"المسائل المحجوزة للرئيس التنفيذي",1,"مكتب الرئيس التنفيذي والنواب",REQUIRED_AND_MISSING,Portal/ceo_approvals.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
cfo_board.php,"لوحة المدير المالي",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cfo_daily_board_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
coa.php,"دليل الحسابات ومراكز التكلفة",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/management_accounting_fin.php,"التسميةُ «دليل الحسابات ومراكز التكلفة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
contract_terms.php,"أحكام العقد — العملات والمقدم والمهل",2,"المالية والخزينة · المبيعات والعقود",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/contract_card.php,"التسميةُ «أحكام العقد — العملات والمقدم والمهل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
cost_report.php,"التكاليف والربحية بالمركز",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cost_report_fin.php,"التسميةُ «التكاليف والربحية بالمركز» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
coverage.php,"التزام العقد بنوع المعدة",2,"المبيعات والعقود · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/contract_coverage.php,"التسميةُ «التزام العقد بنوع المعدة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ctrl_accruals.php,"الاستحقاقات والمخصصات",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
ctrl_board.php,"لوحة رئيس الحسابات",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/ctrl_supervision.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ctrl_cash_count.php,"مراجعة محاضر الجرد النقدي",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/cash_forecast_fin.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_close_calendar.php,"تقويم الإقفال",1,"المالية والخزينة",REQUIRED_AND_MISSING,Operations/fleet_calendar.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_close_checklist.php,"قائمة فحص الإقفال",1,"المالية والخزينة",REQUIRED_AND_MISSING,Operations/monthly_close.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_exceptions.php,"الاستثناءات المحاسبية",1,"المالية والخزينة",REQUIRED_AND_MISSING,Governance/exceptions.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_fx_diff.php,"فروق العملات",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
ctrl_je_orphan.php,"القيود غير المرتبطة بمصدر",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
ctrl_je_queue.php,"طابور مراجعة القيود",1,"المالية والخزينة",REQUIRED_AND_MISSING,Governance/job_queue.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_je_risky.php,"القيود عالية المخاطر",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
ctrl_quality.php,"تقارير جودة المحاسبة",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/ctrl_quality_kpis.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
ctrl_recon_review.php,"مراجعة المطابقات البنكية",1,"المالية والخزينة",REQUIRED_AND_MISSING,Equipments/asset_recon.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_reopen_log.php,"سجل إعادة فتح الفترات",1,"المالية والخزينة",REQUIRED_AND_MISSING,admin/audit_log.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
ctrl_statements.php,"القوائم المالية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/financial_statements_fin.php,"التسميةُ «القوائم المالية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ctrl_trial_balance.php,"ميزان المراجعة",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
custody.php,"العهد والمرتجعات",2,"إدارة الصيانة · إدارة المخازن",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/receipt_custody_proc.php,"التسميةُ «العهد والمرتجعات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
cycle_time.php,"زمن دورة الطلبات",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,FinRequests/cycle_time_board.php,"التسميةُ «زمن دورة الطلبات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
delegations.php,"التفويض بالتوقيع",2,"مكتب الرئيس التنفيذي والنواب · الحوكمة والالتزام",IMPLEMENTED_UNDER_OTHER_ROUTE,Governance/signing_authority.php,"التسميةُ «التفويض بالتوقيع» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
dep_profiles.php,"سياسات الإهلاك المعتمدة",1,"إدارة الأسطول",IMPLEMENTED_UNDER_OTHER_ROUTE,Equipments/fleet_depreciation_profiles.php,"التسميةُ «سياسات الإهلاك المعتمدة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
depreciation.php,"الإهلاك والقيمة الدفترية",3,"المالية والخزينة · التمويل والملكية · إدارة الأسطول",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/assets_fin.php,"التسميةُ «الإهلاك والقيمة الدفترية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
distribution.php,"توزيع المعدات والمشغّلين",3,"إدارة الأسطول · إدارة التشغيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/distribution_space.php,"التسميةُ «توزيع المعدات والمشغّلين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
emp_contracts.php,"عقود الموظفين",1,"الموارد البشرية",IMPLEMENTED_UNDER_OTHER_ROUTE,Employees/employee_contracts.php,"التسميةُ «عقود الموظفين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
entities.php,"سجل الشركات والكيانات",2,"الحوكمة والالتزام · التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Governance/entities_registry.php,"التسميةُ «سجل الشركات والكيانات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
equip_docs.php,"وثائق المعدات والمشغّلين",4,"الموارد البشرية · إدارة الأسطول · إدارة التشغيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Equipments/equipment_documents.php,"التسميةُ «وثائق المعدات والمشغّلين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
equip_meters.php,"قراءات العدّادات",2,"إدارة الأسطول · إدارة الصيانة",IMPLEMENTED_UNDER_OTHER_ROUTE,Equipments/meter_readings.php,"التسميةُ «قراءات العدّادات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
equip_models.php,"موديلات المعدات ومواصفاتها",2,"إدارة الأسطول · إدارة الصيانة",IMPLEMENTED_UNDER_OTHER_ROUTE,Equipments/fleet_models.php,"التسميةُ «موديلات المعدات ومواصفاتها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
equip_types.php,"أنواع المعدات وفئاتها",1,"إدارة الأسطول",IMPLEMENTED_UNDER_OTHER_ROUTE,Equipments/equipments_types.php,"التسميةُ «أنواع المعدات وفئاتها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
failures.php,"تصنيف الأعطال وأسبابها",3,"إدارة الأسطول · إدارة التشغيل · إدارة الصيانة",IMPLEMENTED_UNDER_OTHER_ROUTE,Equipments/manage_failure_codes.php,"التسميةُ «تصنيف الأعطال وأسبابها» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_alerts.php,"تنبيهات الاستحقاقات والالتزامات",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/cron_obligation_alerts.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
fin_avoid_test.php,"اختبار قابلية التجنب للعقود",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
fin_backflow.php,"سجل المرتجَع المالي للإدارات",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/acc_backflow.php,"تداخلُ 3 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
fin_commitments.php,"سجل الارتباطات التعاقدية والإفصاح",1,"المالية والخزينة",REQUIRED_AND_MISSING,Clients/contract_commitments.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
fin_cost.php,"توزيع تكلفة التمويل على المشاريع",2,"المالية والخزينة · التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/cost_allocation.php,"التسميةُ «توزيع تكلفة التمويل على المشاريع» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_data_class.php,"تصنيف بيانات الشاشات الرباعي",1,"المالية والخزينة",REQUIRED_AND_MISSING,Employees/get_employee_data.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
fin_deviations.php,"انحرافات التمويل — السداد والملكية والتوثيق",1,"التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/deviations.php,"التسميةُ «انحرافات التمويل — السداد والملكية والتوثيق» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_exit.php,"الخروج غير المسجَّل من الملكية",1,"التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/deviations.php,"التسميةُ «الخروج غير المسجَّل من الملكية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_idle.php,"عقود تمويل بلا حركة",1,"التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/deviations.php,"التسميةُ «عقود تمويل بلا حركة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_mgr_assign.php,"توزيع التخصصات والنطاقات",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
fin_mgr_board.php,"لوحة مدير الإدارة المالية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/cfo_daily_board_fin.php,"التسميةُ «لوحة مدير الإدارة المالية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_ops.php,"عمليات التمويل",1,"التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/financing_board.php,"التسميةُ «عمليات التمويل» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_recognition.php,"مصفوفة شروط الاعتراف بالمعيار",1,"المالية والخزينة",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
fin_routing.php,"مصفوفة توجيه الطلبات المالية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,FinRequests/routing_admin.php,"تداخلُ 3 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
fin_statements.php,"القوائم المالية",2,"مكتب الرئيس التنفيذي والنواب · المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/financial_statements_fin.php,"التسميةُ «القوائم المالية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fin_triggers.php,"سجل المُطلِقات المالية الخمسة والثلاثين",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/events_list_fin.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
fin_variance.php,"فروق السداد والاستحقاق",1,"التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/deviations.php,"التسميةُ «فروق السداد والاستحقاق» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
financiers.php,"سجل الممولين",1,"التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/financiers_registry.php,"التسميةُ «سجل الممولين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fleet_owners.php,"ملّاك الأسطول",1,"إدارة الأسطول",IMPLEMENTED_UNDER_OTHER_ROUTE,Financing/owners_registry.php,"التسميةُ «ملّاك الأسطول» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
fuel_issue.php,"صرف الوقود اليومي للمعدات",1,"إدارة الموقع",REQUIRED_AND_MISSING,Procurement/issue_proc.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
fuel_receipt.php,"استلام الوقود من العميل",1,"إدارة الموقع",REQUIRED_AND_MISSING,Procurement/receipt_custody_proc.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
fuel_reconcile.php,"مطابقة كميات الوقود",1,"إدارة الموقع",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
fx_daily.php,"سعر الصرف اليومي",1,"المالية والخزينة",REQUIRED_AND_MISSING,Finance/cfo_daily_board_fin.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
fx_rates.php,"أسعار الصرف",2,"المالية والخزينة · التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/currencies_fin.php,"التسميةُ «أسعار الصرف» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
gov_dept_iaf.php,"حوكمة المراجعة الداخلية",1,"المراجع الداخلي المستقل",IMPLEMENTED_UNDER_OTHER_ROUTE,Portal/ceo_audit_reports.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
gov_ladder_steps.php,"خطوات السلالم المسجَّلة",1,"الحوكمة والالتزام",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
gov_ladders.php,"سلاليم الاعتماد وتعريفها",1,"الحوكمة والالتزام",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
iaf_actions.php,"خطط المعالجة والمتابعة",1,"المراجع الداخلي المستقل",IMPLEMENTED_UNDER_OTHER_ROUTE,Audit/iaf_action_plans.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
iaf_board.php,"لوحة رئيس المراجعة الداخلية",1,"المراجع الداخلي المستقل",IMPLEMENTED_UNDER_OTHER_ROUTE,Portal/ceo_audit_reports.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
iaf_evidence.php,"طلبات الأدلة",1,"المراجع الداخلي المستقل",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
iaf_overdue.php,"الملاحظات المتأخرة والتصعيد",1,"المراجع الداخلي المستقل",REQUIRED_AND_MISSING,Finance/ob_overdue.php,"مرشَّحٌ ضعيفٌ برمزٍ واحد",ضعيفة
iaf_programs.php,"برامج المراجعة",1,"المراجع الداخلي المستقل",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
iaf_samples.php,"العينات ونتائج الاختبارات",1,"المراجع الداخلي المستقل",REQUIRED_AND_MISSING,,,"لا مرشَّحَ آليّ"
iaf_sensitive_log.php,"سجل الاطلاع الحساس للمراجعين",1,"المراجع الداخلي المستقل",IMPLEMENTED_UNDER_OTHER_ROUTE,Audit/iaf_access_log.php,"تداخلُ 3 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
invoices.php,"فواتير العملاء",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Contracts/tax_invoices.php,"التسميةُ «فواتير العملاء» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
issue.php,"صرف مواد من المخزن",3,"المالية والخزينة · إدارة الصيانة · إدارة المخازن",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/issue_proc.php,"التسميةُ «صرف مواد من المخزن» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
items.php,"كتالوج الأصناف والقطع الحرجة",3,"إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن",IMPLEMENTED_UNDER_OTHER_ROUTE,Procurement/items_proc.php,"التسميةُ «كتالوج الأصناف والقطع الحرجة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
journal.php,"القيود اليومية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/journal_form_fin.php,"التسميةُ «القيود اليومية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
journey_tracker.php,"متابعة الرحلات الذهبية",1,"إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Transport/transfer_in_transit.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
leaves.php,"الإجازات والغياب",2,"الموارد البشرية · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Workforce/worker_leave_absence.php,"التسميةُ «الإجازات والغياب» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
licenses.php,"التراخيص والكفالات",1,"الحوكمة والالتزام",IMPLEMENTED_UNDER_OTHER_ROUTE,Governance/licenses_guarantees.php,"التسميةُ «التراخيص والكفالات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
maint_provision.php,"مخصص الصيانة والعمرات",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/maintenance_provision_fin.php,"التسميةُ «مخصص الصيانة والعمرات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
margin.php,"هامش الربح للعقد والواقعة",3,"مكتب الرئيس التنفيذي والنواب · المالية والخزينة · إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Reports/margin_report.php,"التسميةُ «هامش الربح للعقد والواقعة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
messages.php,المراسلات,16,"مكتب الرئيس التنفيذي والنواب · الحوكمة والالتزام · المالية والخزينة · الموارد البشرية · المبيعات والعقود · التمويل والملكية · إدارة الموردين · إدارة الأسطول · إدارة التشغيل · إدارة الصيانة · إدارة المشتريات التشغيلية · إدارة المخازن · النقل والترحيل · القوى التشغيلية · مركز البلاغات · مساحة العمل الشخصية",IMPLEMENTED_UNDER_OTHER_ROUTE,index.php,"التسميةُ «المراسلات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
my_workspace_v2.php,"مساحة عملي — أربعة صناديق",1,"إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,main/my_workspace.php,"تداخلُ 2 كلمةً في **المعنى العربيّ** مع تسميةٍ حيّة","متوسطة — تحتاج حسمَ بشر"
op_assign.php,"تكليف المشغّل على المعدة",3,"الموارد البشرية · إدارة التشغيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/distribution_space.php,"التسميةُ «تكليف المشغّل على المعدة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
op_deduct.php,"خصومات المشغّلين المقترحة",2,"الموارد البشرية · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Workforce/proposed_deductions.php,"التسميةُ «خصومات المشغّلين المقترحة» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
operators.php,"سجل المشغّلين",3,"الموارد البشرية · النقل والترحيل · القوى التشغيلية",IMPLEMENTED_UNDER_OTHER_ROUTE,Employees/equipment_operators.php,"التسميةُ «سجل المشغّلين» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
ops_room.php,"غرفة عمليات المواقع",1,"إدارة التشغيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Operations/operations_room.php,"التسميةُ «غرفة عمليات المواقع» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
payables.php,"ذمم الموردين والمستحقات",2,"المالية والخزينة · التمويل والملكية",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/dues_fin.php,"التسميةُ «ذمم الموردين والمستحقات» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
payments.php,"طلبات الدفع والسداد",6,"المالية والخزينة · الموارد البشرية · التمويل والملكية · إدارة التشغيل · إدارة المشتريات التشغيلية · النقل والترحيل",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/payments_fin.php,"التسميةُ «طلبات الدفع والسداد» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
payroll.php,"مسيّر الرواتب",2,"المالية والخزينة · الموارد البشرية",IMPLEMENTED_UNDER_OTHER_ROUTE,Workforce/payroll_runs.php,"التسميةُ «مسيّر الرواتب» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
period_close.php,"إقفال الفترة المحاسبية",1,"المالية والخزينة",IMPLEMENTED_UNDER_OTHER_ROUTE,Finance/periods_fin.php,"التسميةُ «إقفال الفترة المحاسبية» حيّةٌ في التنقّلِ على مسارٍ آخر",عالية
