الإدارة,الشاشة,الملف,القرار,الملفُّ الأم,الكيان,القالبُ المستهدَف,الملفُّ الحي,في النطاقِ المرحَّل
المالية والخزينة,الأحداث المالية في نطاقي,acc_scope_events.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,تقارير تخصصي المحاسبي,acc_spec_reports.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,ميزان المراجعة,ctrl_trial_balance.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,تقارير جودة المحاسبة,ctrl_quality.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,توليد استحقاقات عقد العميل,ar_accrual_gen.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,حصص الموردين من العقود,supplier_quota.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,توليد التزامات عقد المورد,ap_oblig_gen.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,جدول استحقاقات العميل,ar_accrual_sched.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,تنبيهات الاستحقاقات والالتزامات,fin_alerts.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,ذمم الموردين والمستحقات,payables.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,تسويات ومستحقات الموردين,supplier_settle.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,كشف حساب المورد الشهري,supplier_stmt.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,السيولة والتدفق النقدي,tre_liquidity.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
المالية والخزينة,كشف حساب العميل,client_statement.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,Contracts/client_statement.php,نعم
المالية والخزينة,توزيع تكلفة التمويل على المشاريع,fin_cost.php,تُدمج تبويبًا,ملفُّ عمليةِ التمويل,عمليةِ التمويل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المالية والخزينة,الإنذار المالي المبكر,fin_early_warning.php,تُحوَّل منظرًا,—,—,قالبُ السجلِّ الجدوليّ,Finance/fin_early_warning.php,نعم
المالية والخزينة,ربحية المعدة الواحدة,fin_unit_economics.php,تُحوَّل منظرًا,—,المعدة,قالبُ السجلِّ الجدوليّ,Finance/fin_unit_economics.php,نعم
المالية والخزينة,هامش العقد ونموذج العمل,fin_contract_margin.php,تُحوَّل منظرًا,—,العقد,قالبُ السجلِّ الجدوليّ,Finance/fin_contract_margin.php,نعم
المالية والخزينة,قائمة دخل المشروع,fin_project_pl.php,تُدمج تبويبًا,ملفُّ المشروع,المشروع,قالبُ ملفِّ الكيان,Finance/fin_project_pl.php,نعم
الموارد البشرية,عقود الموظفين,emp_contracts.php,تُدمج تبويبًا,ملفُّ الموظف,الموظف,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
الموارد البشرية,وثائق المعدات والمشغّلين,equip_docs.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
الموارد البشرية,تكليف المشغّل على المعدة,op_assign.php,تُدمج تبويبًا,ملفُّ المعدة,المعدة,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
الموارد البشرية,تأهيل المشغّلين على أنواع المعدات,op_qual.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,Workforce/op_qual.php,نعم
الموارد البشرية,خصومات المشغّلين المقترحة,op_deduct.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المبيعات والعقود,أحكام العقد — العملات والمقدم والمهل,contract_terms.php,تُدمج تبويبًا,ملفُّ العقد,العقد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المبيعات والعقود,التزام العقد بنوع المعدة,coverage.php,تُدمج تبويبًا,ملفُّ العقد,العقد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
المبيعات والعقود,مطابقة بيانات العميل,unit_client_match.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,Contracts/unit_client_match.php,نعم
المبيعات والعقود,كشف التايم شيت — العميل,unit_statement_client.php,تُحوَّل منظرًا,—,العميل,قالبُ السجلِّ الجدوليّ,Contracts/unit_statement_client.php,نعم
المبيعات والعقود,قبول العميل للفاتورة,unit_client_accept.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
التمويل والملكية,نماذج التمويل ومعالجتها,fin_models.php,تُدمج تبويبًا,ملفُّ عمليةِ التمويل,عمليةِ التمويل,قالبُ ملفِّ الكيان,Financing/fin_models.php,نعم
التمويل والملكية,عمليات التمويل,fin_ops.php,تُدمج تبويبًا,ملفُّ عمليةِ التمويل,عمليةِ التمويل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
التمويل والملكية,تغيّرات عقود التمويل,fin_changes.php,تُدمج تبويبًا,ملفُّ عمليةِ التمويل,عمليةِ التمويل,قالبُ ملفِّ الكيان,Financing/fin_changes.php,نعم
التمويل والملكية,توزيع تكلفة التمويل على المشاريع,fin_cost.php,تُدمج تبويبًا,ملفُّ عمليةِ التمويل,عمليةِ التمويل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
التمويل والملكية,ذمم الموردين والمستحقات,payables.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
التمويل والملكية,انحرافات التمويل — السداد والملكية والتوثيق,fin_deviations.php,تُدمج تبويبًا,ملفُّ عمليةِ التمويل,عمليةِ التمويل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,حسابات الموردين البنكية,supplier_bank.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Suppliers/supplier_bank.php,نعم
إدارة الموردين,معدات المورد ومالكوها,supplier_equip.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,خطة معدات المورد المتعهَّد بها,supplier_plan.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,طاقة المورد وجاهزيته ومهلة الإحلال,supplier_capacity.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Suppliers/supplier_capacity.php,نعم
إدارة الموردين,عقود الموردين,supplier_contracts.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,قواعد التحميل والجزاءات على المورد,supplier_rules.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Suppliers/supplier_rules.php,نعم
إدارة الموردين,حصص الموردين من العقود,supplier_quota.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,توزيع وحدات المورد على معداته,equipment_quota.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Operations/equipment_quota.php,نعم
إدارة الموردين,تسليم الحصص بين الموردين,sup_handover.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Suppliers/sup_handover.php,نعم
إدارة الموردين,دفتر استهلاك حصص الموردين,quota_ledger.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,أداء الموردين وجاهزيتهم,supplier_perf.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,اعتماد وحدات الموردين,unit_supplier_approve.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,كشف التايم شيت — المورد,unit_statement_supplier.php,تُحوَّل منظرًا,—,المورد,قالبُ السجلِّ الجدوليّ,Suppliers/unit_statement_supplier.php,نعم
إدارة الموردين,تسويات ومستحقات الموردين,supplier_settle.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,كشف حساب المورد الشهري,supplier_stmt.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,سلفيات الموردين,supplier_advances.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Suppliers/supplier_advances.php,نعم
إدارة الموردين,توليد التزامات عقد المورد,ap_oblig_gen.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموردين,تقييم المورد الدوري,supplier_evaluation.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Suppliers/supplier_evaluation.php,نعم
إدارة الأسطول,مصدر المعدة ونمط تملّكها,equipment_sourcing.php,تُدمج تبويبًا,ملفُّ المعدة,المعدة,قالبُ ملفِّ الكيان,Equipments/equipment_sourcing.php,نعم
إدارة الأسطول,وثائق المعدات والمشغّلين,equip_docs.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الأسطول,توزيع المعدات والمشغّلين,distribution.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,توزيع المعدات والمشغّلين,distribution.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,التزام العقد بنوع المعدة,coverage.php,تُدمج تبويبًا,ملفُّ العقد,العقد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,حصص الموردين من العقود,supplier_quota.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,توزيع وحدات المورد على معداته,equipment_quota.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,Operations/equipment_quota.php,نعم
إدارة التشغيل,تكليف المشغّل على المعدة,op_assign.php,تُدمج تبويبًا,ملفُّ المعدة,المعدة,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,مطابقة بيانات العميل,unit_client_match.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,Contracts/unit_client_match.php,نعم
إدارة التشغيل,اعتماد وحدات الموردين,unit_supplier_approve.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,اعتماد وحدات المشغّلين,unit_workforce_approve.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,قبول العميل للفاتورة,unit_client_accept.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة التشغيل,كشف التايم شيت — المورد,unit_statement_supplier.php,تُحوَّل منظرًا,—,المورد,قالبُ السجلِّ الجدوليّ,Suppliers/unit_statement_supplier.php,نعم
إدارة التشغيل,كشف التايم شيت — المشغّل,unit_statement_worker.php,تُحوَّل منظرًا,—,المشغّل,قالبُ السجلِّ الجدوليّ,— غيرُ مبنية,لا
إدارة التشغيل,كشف التايم شيت — العميل,unit_statement_client.php,تُحوَّل منظرًا,—,العميل,قالبُ السجلِّ الجدوليّ,Contracts/unit_statement_client.php,نعم
إدارة التشغيل,وثائق المعدات والمشغّلين,equip_docs.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الصيانة,تحويل البلاغ وتفريعه لمسارات,ticket_split.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الصيانة,البلاغات المتكررة وسببها الجذري,ticket_recur.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة المخازن,استهلاك المعدة ومعدله,consumption_rate.php,تُدمج تبويبًا,ملفُّ المعدة,المعدة,قالبُ ملفِّ الكيان,Procurement/consumption_rate.php,نعم
القوى التشغيلية,اعتماد وحدات المشغّلين,unit_workforce_approve.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
القوى التشغيلية,أرقام المشغّلين الشاغرة,op_codes.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,Workforce/op_codes.php,نعم
القوى التشغيلية,تأهيل المشغّلين على أنواع المعدات,op_qual.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,Workforce/op_qual.php,نعم
القوى التشغيلية,وثائق المعدات والمشغّلين,equip_docs.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
القوى التشغيلية,خصومات المشغّلين المقترحة,op_deduct.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
القوى التشغيلية,تكليف المشغّل على المعدة,op_assign.php,تُدمج تبويبًا,ملفُّ المعدة,المعدة,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
القوى التشغيلية,توزيع المعدات والمشغّلين,distribution.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
القوى التشغيلية,تسويات ومستحقات الموردين,supplier_settle.php,تُدمج تبويبًا,ملفُّ المورد,المورد,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,مؤشرات البلاغات,ticket_kpi.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,Tickets/ticket_kpi.php,نعم
مركز البلاغات,البلاغات الدورية المولَّدة,ticket_periodic.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,تصنيف البلاغ وتوجيهه آليًّا,ticket_route.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,إعدادات البلاغات — الأنواع والمهل والتصعيد,ticket_config.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,مهل البلاغات وتصعيدها,ticket_escalate.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,البلاغات المتكررة وسببها الجذري,ticket_recur.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,تحويل البلاغ وتفريعه لمسارات,ticket_split.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
مركز البلاغات,إغلاق البلاغ وتأكيده,ticket_close.php,تُدمج تبويبًا,ملفُّ البلاغ,البلاغ,قالبُ ملفِّ الكيان,Tickets/ticket_close.php,نعم
إدارة الموقع,استلام الوقود من العميل,fuel_receipt.php,تُدمج تبويبًا,ملفُّ العميل,العميل,قالبُ ملفِّ الكيان,— غيرُ مبنية,لا
إدارة الموقع,أذون دخول وخروج المشغّلين,site_gate_person.php,تُدمج تبويبًا,ملفُّ المشغّل,المشغّل,قالبُ ملفِّ الكيان,Operations/site_gate_person.php,نعم
