النوع,المرجع,البيان,القيمة أ,القيمة ب,الفرق,الحكم
قالب↔ورقة,PRC-G2,إدارة المشتريات التشغيلية · G2,هدف 12,مزروع 0,-12,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G3,إدارة المشتريات التشغيلية · G3,هدف 18,مزروع 0,-18,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G4,إدارة المشتريات التشغيلية · G4,هدف 18,مزروع 0,-18,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G5,إدارة المشتريات التشغيلية · G5,هدف 20,مزروع 0,-20,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G6,إدارة المشتريات التشغيلية · G6,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G7,إدارة المشتريات التشغيلية · G7,هدف 23,مزروع 58,35,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,PRC-G8,إدارة المشتريات التشغيلية · G8,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,PRC-G9,إدارة المشتريات التشغيلية · G9,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G1,إدارة الموردين · G1,هدف 5,مزروع 0,-5,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G2,إدارة الموردين · G2,هدف 11,مزروع 0,-11,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G3,إدارة الموردين · G3,هدف 25,مزروع 0,-25,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G4,إدارة الموردين · G4,هدف 25,مزروع 110,85,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,SUP-G5,إدارة الموردين · G5,هدف 26,مزروع 0,-26,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G6,إدارة الموردين · G6,هدف 27,مزروع 0,-27,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G7,إدارة الموردين · G7,هدف 27,مزروع 118,91,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,SUP-G8,إدارة الموردين · G8,هدف 27,مزروع 0,-27,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SUP-G9,إدارة الموردين · G9,هدف 27,مزروع 0,-27,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G1,إدارة الموقع · G1,هدف 4,مزروع 0,-4,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G2,إدارة الموقع · G2,هدف 7,مزروع 0,-7,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G3,إدارة الموقع · G3,هدف 15,مزروع 0,-15,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G4,إدارة الموقع · G4,هدف 15,مزروع 0,-15,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G5,إدارة الموقع · G5,هدف 19,مزروع 0,-19,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G6,إدارة الموقع · G6,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G7,إدارة الموقع · G7,هدف 23,مزروع 129,106,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,SIT-G8,إدارة الموقع · G8,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SIT-G9,إدارة الموقع · G9,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G1,التمويل والملكية · G1,هدف 5,مزروع 0,-5,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G2,التمويل والملكية · G2,هدف 14,مزروع 0,-14,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G3,التمويل والملكية · G3,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G4,التمويل والملكية · G4,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G5,التمويل والملكية · G5,هدف 33,مزروع 0,-33,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G6,التمويل والملكية · G6,هدف 34,مزروع 0,-34,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G7,التمويل والملكية · G7,هدف 34,مزروع 58,24,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,CAP-G8,التمويل والملكية · G8,هدف 34,مزروع 0,-34,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CAP-G9,التمويل والملكية · G9,هدف 34,مزروع 0,-34,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G1,الحوكمة والالتزام · G1,هدف 7,مزروع 0,-7,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G2,الحوكمة والالتزام · G2,هدف 15,مزروع 0,-15,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G3,الحوكمة والالتزام · G3,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G4,الحوكمة والالتزام · G4,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G5,الحوكمة والالتزام · G5,هدف 41,مزروع 0,-41,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G6,الحوكمة والالتزام · G6,هدف 50,مزروع 0,-50,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G7,الحوكمة والالتزام · G7,هدف 50,مزروع 165,115,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,GOV-G8,الحوكمة والالتزام · G8,هدف 50,مزروع 0,-50,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,GOV-G9,الحوكمة والالتزام · G9,هدف 50,مزروع 0,-50,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G1,القوى التشغيلية · G1,هدف 9,مزروع 0,-9,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G2,القوى التشغيلية · G2,هدف 17,مزروع 0,-17,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G3,القوى التشغيلية · G3,هدف 34,مزروع 0,-34,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G4,القوى التشغيلية · G4,هدف 34,مزروع 0,-34,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G5,القوى التشغيلية · G5,هدف 37,مزروع 0,-37,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G6,القوى التشغيلية · G6,هدف 40,مزروع 0,-40,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G7,القوى التشغيلية · G7,هدف 40,مزروع 64,24,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,WRK-G8,القوى التشغيلية · G8,هدف 40,مزروع 0,-40,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,WRK-G9,القوى التشغيلية · G9,هدف 40,مزروع 0,-40,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FIN-G1,المالية والخزينة · G1,هدف 11,مزروع 0,-11,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FIN-G2,المالية والخزينة · G2,هدف 46,مزروع 98,52,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,FIN-G3,المالية والخزينة · G3,هدف 116,مزروع 109,-7,الحيُّ أضيقُ من الهدف — النقصُ يُبذَر بقرارٍ
قالب↔ورقة,FIN-G4,المالية والخزينة · G4,هدف 116,مزروع 0,-116,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FIN-G5,المالية والخزينة · G5,هدف 119,مزروع 0,-119,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,FIN-G6,المالية والخزينة · G6,هدف 123,مزروع 30,-93,الحيُّ أضيقُ من الهدف — النقصُ يُبذَر بقرارٍ
قالب↔ورقة,FIN-G7,المالية والخزينة · G7,هدف 123,مزروع 152,29,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,FIN-G8,المالية والخزينة · G8,هدف 123,مزروع 10,-113,الحيُّ أضيقُ من الهدف — النقصُ يُبذَر بقرارٍ
قالب↔ورقة,FIN-G9,المالية والخزينة · G9,هدف 123,مزروع 0,-123,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G1,المبيعات والعقود · G1,هدف 5,مزروع 0,-5,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G2,المبيعات والعقود · G2,هدف 13,مزروع 0,-13,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G3,المبيعات والعقود · G3,هدف 29,مزروع 0,-29,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G4,المبيعات والعقود · G4,هدف 29,مزروع 0,-29,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G5,المبيعات والعقود · G5,هدف 30,مزروع 0,-30,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G6,المبيعات والعقود · G6,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G7,المبيعات والعقود · G7,هدف 32,مزروع 142,110,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,SAL-G8,المبيعات والعقود · G8,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,SAL-G9,المبيعات والعقود · G9,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G1,المراجع الداخلي المستقل · G1,هدف 3,مزروع 0,-3,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G2,المراجع الداخلي المستقل · G2,هدف 7,مزروع 0,-7,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G3,المراجع الداخلي المستقل · G3,هدف 16,مزروع 0,-16,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G4,المراجع الداخلي المستقل · G4,هدف 16,مزروع 0,-16,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G5,المراجع الداخلي المستقل · G5,هدف 17,مزروع 0,-17,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G6,المراجع الداخلي المستقل · G6,هدف 18,مزروع 0,-18,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G7,المراجع الداخلي المستقل · G7,هدف 18,مزروع 64,46,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,IAF-G8,المراجع الداخلي المستقل · G8,هدف 18,مزروع 0,-18,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,IAF-G9,المراجع الداخلي المستقل · G9,هدف 18,مزروع 0,-18,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G1,الموارد البشرية · G1,هدف 8,مزروع 0,-8,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G2,الموارد البشرية · G2,هدف 15,مزروع 0,-15,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G3,الموارد البشرية · G3,هدف 30,مزروع 0,-30,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G4,الموارد البشرية · G4,هدف 30,مزروع 0,-30,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G5,الموارد البشرية · G5,هدف 32,مزروع 0,-32,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G6,الموارد البشرية · G6,هدف 35,مزروع 0,-35,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G7,الموارد البشرية · G7,هدف 35,مزروع 122,87,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,HRM-G8,الموارد البشرية · G8,هدف 35,مزروع 0,-35,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,HRM-G9,الموارد البشرية · G9,هدف 35,مزروع 0,-35,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G1,النقل والترحيل · G1,هدف 6,مزروع 0,-6,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G2,النقل والترحيل · G2,هدف 10,مزروع 0,-10,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G3,النقل والترحيل · G3,هدف 19,مزروع 0,-19,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G4,النقل والترحيل · G4,هدف 19,مزروع 0,-19,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G5,النقل والترحيل · G5,هدف 21,مزروع 0,-21,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G6,النقل والترحيل · G6,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G7,النقل والترحيل · G7,هدف 23,مزروع 59,36,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,TRP-G8,النقل والترحيل · G8,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,TRP-G9,النقل والترحيل · G9,هدف 23,مزروع 0,-23,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G1,مركز البلاغات · G1,هدف 8,مزروع 0,-8,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G2,مركز البلاغات · G2,هدف 10,مزروع 0,-10,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G3,مركز البلاغات · G3,هدف 16,مزروع 0,-16,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G4,مركز البلاغات · G4,هدف 16,مزروع 0,-16,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G5,مركز البلاغات · G5,هدف 19,مزروع 0,-19,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G6,مركز البلاغات · G6,هدف 22,مزروع 0,-22,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G7,مركز البلاغات · G7,هدف 22,مزروع 55,33,الحيُّ أوسعُ من هدفِ الورقة — يُقلَّم بقرارٍ أو يُعدَّل الهدف
قالب↔ورقة,CRP-G8,مركز البلاغات · G8,هدف 22,مزروع 0,-22,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
قالب↔ورقة,CRP-G9,مركز البلاغات · G9,هدف 22,مزروع 0,-22,بلا نظيرٍ حيٍّ — بذرُه قرارُ تكوينٍ بيدِ المالك
